ID,Full-time enrollment,Graduate enrollment,Part-time enrollment,Total enrollment,Undergraduate enrollment
C0760,7305,2813,2825,10130,7317
C0761,7935,2691,79,8014,5323
C0762,5015,238,837,5852,5614
C0763,4122,985,1288,5410,4425
C0764,4746,1422,1518,6264,4842
C0765,40321,14135,7715,48036,33901
C0766,7559,3995,3653,11212,7217
C0767,2316,710,878,3194,2484
C0768,7141,4064,2762,9903,5839
C0769,697,565,855,1552,987
C0770,4180,3093,1604,5784,2691
C0771,7272,919,1186,8458,7539
C0772,138,1281,20739,20877,19596
C0773,6653,687,687,7340,6653
C0774,8575,1387,2839,11414,10027
C0775,3002,1280,2845,5847,4567
C0776,2224,1294,1466,3690,2396
C0777,1651,530,483,2134,1604
C0778,20668,6176,7924,28592,22416
C0779,13006,3183,3759,16765,13582
C0780,822,28,859,1681,1653
C0781,359,605,564,923,318
C0782,1669,711,1891,3560,2849
C0783,1308,17,433,1741,1724
C0784,6034,2605,1611,7645,5040
C0785,2079,471,352,2431,1960
C0786,2229,341,126,2355,2014
C0787,2463,0,26,2489,2489
C0788,1118,68,0,1118,1050
C0789,3443,1453,1094,4537,3084
C0790,937,0,140,1077,1077
C0791,3602,616,124,3726,3110
C0792,2877,10,23,2900,2890
C0793,1164,344,91,1255,911
C0794,22731,18987,4226,26957,7970
C0795,868,66,85,953,887
C0796,903,52,17,920,868
C0797,21528,7200,65,21593,14393
C0798,11222,3423,6283,17505,14082
C0799,10061,3408,6943,17004,13596
C0800,9900,976,4541,14441,13465
C0801,9721,2830,5610,15331,12501
C0802,4454,5389,2282,6736,1347
C0803,13087,6330,9932,23019,16689
C0804,10764,1793,4246,15010,13217
C0805,5916,2199,6169,12085,9886
C0806,4267,0,2210,6477,6477
C0807,10318,0,6542,16860,16860
C0808,11249,3623,7725,18974,15351
C0809,5199,46,3108,8307,8261
C0810,2401,1127,749,3150,2023
C0811,2231,715,640,2871,2156
C0812,1441,471,557,1998,1527
C0813,1737,884,1461,3198,2314
C0814,1200,134,342,1542,1408
C0815,7377,189,2378,9755,9566
C0816,12015,6752,3082,15097,8345
C0817,1905,0,21,1926,1926
C0818,1579,0,39,1618,1618
C0819,928,50,142,1070,1020
C0820,2328,4,44,2372,2368
C0821,9383,4102,1545,10928,6826
C0822,1032,19,68,1100,1081
C0823,3389,702,852,4241,3539
C0824,6562,489,161,6723,6234
C0825,1658,206,378,2036,1830
C0826,2538,534,781,3319,2785
C0827,6261,3477,2222,8483,5006
C0828,4824,2616,5775,10599,7983
C0829,130,247,140,270,23
C0830,3392,480,491,3883,3403
C0831,1900,1031,850,2750,1719
C0832,5121,799,1244,6365,5566
C0833,1593,0,240,1833,1833
C0834,2185,663,205,2390,1727
C0835,7017,3494,4631,11648,8154
C0836,2903,1080,1552,4455,3375
C0837,1811,353,745,2556,2203
C0838,1539,269,399,1938,1669
C0839,2293,789,530,2823,2034
C0840,2865,741,1101,3966,3225
C0841,8415,3524,1886,10301,6777
C0842,35096,21984,9503,44599,22615
C0843,3342,1160,714,4056,2896
C0844,6028,3089,1517,7545,4456
C0845,2033,1251,1049,3082,1831
C0846,9148,4335,3476,12624,8289
C0847,969,0,12,981,981
C0848,4008,2735,882,4890,2155
C0849,6565,1262,149,6714,5452
C0850,1585,420,150,1735,1315
C0851,14119,2703,2464,16583,13880
C0852,9284,4843,1736,11020,6177
C0853,1852,1133,980,2832,1699
C0854,2037,418,207,2244,1826
C0855,2481,55,338,2819,2764
C0856,2410,92,96,2506,2414
C0857,3303,1651,1239,4542,2891
C0858,1307,171,665,1972,1801
C0859,1701,311,81,1782,1471
C0860,3059,56,148,3207,3151
C0861,2647,18,55,2702,2684
C0862,3699,825,1655,5354,4529
C0863,3350,1028,637,3987,2959
C0864,13719,4956,7010,20729,15773
C0865,3222,0,333,3555,3555
C0866,2938,0,574,3512,3512
C0867,2590,0,718,3308,3308
C0868,2267,0,186,2453,2453
C0869,6074,0,2088,8162,8162
C0870,2668,0,360,3028,3028
C0871,14398,4516,2940,17338,12822
C0872,14383,3080,1694,16077,12997
C0873,24816,10019,5034,29850,19831
C0874,20044,8151,4099,24143,15992
C0875,1966,527,263,2229,1702
C0876,1620,676,860,2480,1804
C0877,6729,1038,1399,8128,7090
C0878,8799,1736,2292,11091,9355
C0879,6537,710,573,7110,6400
C0880,5149,299,242,5391,5092
C0881,5452,140,192,5644,5504
C0882,6538,1008,1040,7578,6570
C0883,5808,234,226,6034,5800
C0884,7306,789,811,8117,7328
C0885,3817,335,225,4042,3707
C0886,3949,114,404,4353,4239
C0887,3657,206,710,4367,4161
C0888,5458,412,593,6051,5639
C0889,4309,996,7514,11823,10827
C0890,1612,154,143,1755,1601
C0891,19092,6170,2175,21267,15097
C0892,3169,5149,1980,5149,0
C0893,8105,7041,5763,13868,6827
C0894,0,2457,39897,39897,37440
C0895,2225,0,21,2246,2246
C0896,958,27,27,985,958
C0897,2444,1147,1584,4028,2881
C0898,2437,0,40,2477,2477
C0899,1985,403,260,2245,1842
C0900,524,0,10,534,534
C0901,5585,3860,1162,6747,2887
C0902,16021,1813,1817,17838,16025
C0903,906,8,159,1065,1057
C0904,1549,0,98,1647,1647
C0905,609,0,71,680,680
C0906,690,0,11,701,701
C0907,4981,1657,1141,6122,4465
C0908,1211,12,99,1310,1298
C0909,1285,6,82,1367,1361
C0910,1788,0,0,1788,1788
C0911,14894,8821,573,15467,6646
C0912,20971,5379,5916,26887,21508
C0913,2155,85,266,2421,2336
C0914,6052,706,253,6305,5599
C0915,4325,769,1854,6179,5410
C0916,2784,2069,1872,4656,2587
C0917,781,38,231,1012,974
C0918,1928,0,374,2302,2302
C0919,4017,200,182,4199,3999
C0920,1323,0,64,1387,1387
C0921,883,0,7,890,890
C0922,1519,407,379,1898,1491
C0923,1164,0,11,1175,1175
C0924,1333,14,107,1440,1426
C0925,1602,301,270,1872,1571
C0926,2100,220,363,2463,2243
C0927,635,183,291,926,743
C0928,1386,0,2028,3414,3414
C0929,9086,1689,1475,10561,8872
C0930,3129,48,655,3784,3736
C0931,24390,10757,4737,29127,18370
C0932,20436,5068,6135,26571,21503
C0933,13858,3321,4216,18074,14753
C0934,6550,1873,1543,8093,6220
C0935,26770,9473,7239,34009,24536
C0936,1232,0,370,1602,1602
C0937,12001,1490,1936,13937,12447
C0938,875,0,132,1007,1007
C0939,4485,793,1737,6222,5429
C0940,1041,909,819,1860,951
C0941,1579,551,706,2285,1734
C0942,129,0,33,162,162
C0943,1265,0,34,1299,1299
C0944,845,208,342,1187,979
C0945,1875,139,187,2062,1923
C0946,592,40,43,635,595
C0947,7375,2779,227,7602,4823
C0948,887,63,6,893,830
C0949,2457,993,545,3002,2009
C0950,4614,461,785,5399,4938
C0951,7750,1659,2357,10107,8448
C0952,1018,0,431,1449,1449
C0953,923,42,74,997,955
C0954,1744,866,1166,2910,2044
C0955,587,29,478,1065,1036
C0956,2273,279,1260,3533,3254
C0957,11160,3419,3983,15143,11724
C0958,11798,2681,2831,14629,11948
C0959,761,155,605,1366,1211
C0960,18340,4455,6592,24932,20477
C0961,3444,2781,2535,5979,3198
C0962,3363,628,690,4053,3425
C0963,920,93,226,1146,1053
C0964,14764,2481,2194,16958,14477
C0965,2980,840,648,3628,2788
C0966,9270,5664,1055,10325,4661
C0967,3163,224,299,3462,3238
C0968,1840,32,228,2068,2036
C0969,25873,10673,8506,34379,23706
C0970,1859,183,1852,3711,3528
C0971,10825,5364,6672,17497,12133
C0972,9390,2860,1445,10835,7975
C0973,766,97,223,989,892
C0974,2253,0,21,2274,2274
C0975,3041,1008,1839,4880,3872
C0976,1094,134,147,1241,1107
C0977,1117,28,194,1311,1283
C0978,3213,671,498,3711,3040
C0979,703,2,1143,1846,1844
C0980,21737,6030,7261,28998,22968
C0981,1695,0,10,1705,1705
C0982,875,164,211,1086,922
C0983,1452,381,735,2187,1806
C0984,1525,418,549,2074,1656
C0985,1429,126,113,1542,1416
C0986,16038,2439,1863,17901,15462
C0987,2118,91,69,2187,2096
C0988,1667,400,562,2229,1829
C0989,1432,531,894,2326,1795
C0990,1501,426,653,2154,1728
C0991,1405,280,864,2269,1989
C0992,2872,17,39,2911,2894
C0993,1845,568,728,2573,2005
C0994,3098,917,521,3619,2702
C0995,880,18,197,1077,1059
C0996,985,49,219,1204,1155
C0997,973,29,286,1259,1230
C0998,1893,52,422,2315,2263
C0999,50012,13265,7454,57466,44201
C1000,19449,5282,9337,28786,23504
C1001,1809,0,21,1830,1830
C1002,2411,440,508,2919,2479
C1003,1808,108,506,2314,2206
C1004,3710,86,631,4341,4255
C1005,2148,621,585,2733,2112
C1006,2323,1190,2631,4954,3764
C1007,16179,4590,4564,20743,16153
C1008,1041,419,619,1660,1241
C1009,786,164,962,1748,1584
C1010,626,552,731,1357,805
C1011,2118,578,845,2963,2385
C1012,466,16,13,479,463
C1013,1031,4,142,1173,1169
C1014,1853,20,126,1979,1959
C1015,2077,0,39,2116,2116
C1016,12900,3860,3756,16656,12796
C1017,4811,2013,1822,6633,4620
C1018,10038,1214,3314,13352,12138
C1019,851,0,114,965,965
C1020,578,141,777,1355,1214
C1021,2136,506,113,2249,1743
C1022,3772,540,2126,5898,5358
C1023,11644,2002,5576,17220,15218
C1024,3327,830,1260,4587,3757
C1025,2025,458,508,2533,2075
C1026,5695,1130,2853,8548,7418
C1027,1605,230,702,2307,2077
C1028,2116,459,305,2421,1962
C1029,1041,0,334,1375,1375
C1030,19959,5413,6114,26073,20660
C1031,1931,78,166,2097,2019
C1032,2573,1215,606,3179,1964
C1033,20627,6307,6665,27292,20985
C1034,2862,530,552,3414,2884
C1035,2600,0,1873,4473,4473
C1036,382,51,302,684,633
C1037,805,0,113,918,918
C1038,2777,328,1049,3826,3498
C1039,600,43,247,847,804
C1040,3871,780,1071,4942,4162
C1041,4102,1169,495,4597,3428
C1042,4960,4040,468,5428,1388
C1043,2198,403,1959,4157,3754
C1044,2493,1328,1219,3712,2384
C1045,3110,1395,411,3521,2126
C1046,1630,0,41,1671,1671
C1047,255,667,1153,1408,741
C1048,541,176,119,660,484
C1049,2370,41,2037,4407,4366
C1050,21958,4745,5944,27902,23157
C1051,21920,3676,2553,24473,20797
C1052,3316,1798,267,3583,1785
C1053,17308,5333,10952,28260,22927
C1054,3515,542,521,4036,3494
C1055,1356,16,55,1411,1395
C1056,3833,492,2159,5992,5500
C1057,470,3,36,506,503
C1058,916,207,227,1143,936
C1059,2660,736,195,2855,2119
C1060,4720,914,1457,6177,5263
C1061,265,8,13,278,270
C1062,2315,35,69,2384,2349
C1063,2125,0,36,2161,2161
C1064,2063,784,1203,3266,2482
C1065,1824,500,1047,2871,2371
C1066,2844,1452,1061,3905,2453
C1067,9155,711,972,10127,9416
C1068,1663,410,75,1738,1328
C1069,3555,76,53,3608,3532
C1070,1303,1111,1145,2448,1337
C1071,6527,1793,1716,8243,6450
C1072,1732,912,1280,3012,2100
C1073,11279,6450,1088,12367,5917
C1074,681,200,805,1486,1286
C1075,1488,1197,682,2170,973
C1076,1442,672,747,2189,1517
C1077,1123,33,89,1212,1179
C1078,4580,881,1500,6080,5199
C1079,1681,216,342,2023,1807
C1080,2356,0,40,2396,2396
C1081,18909,9516,7223,26132,16616
C1082,9008,3934,896,9904,5970
C1083,5794,592,984,6778,6186
C1084,2808,1463,1196,4004,2541
C1085,5770,1234,1328,7098,5864
C1086,1856,48,36,1892,1844
C1087,2258,0,39,2297,2297
C1088,3111,1100,1100,4211,3111
C1089,1669,311,183,1852,1541
C1090,2517,0,7,2524,2524
C1091,51,662,622,673,11
C1092,1998,309,373,2371,2062
C1093,1187,0,0,1187,1187
C1094,1553,774,1403,2956,2182
C1095,1349,1115,2326,3675,2560
C1096,12965,2257,1960,14925,12668
C1097,1565,10,70,1635,1625
C1098,1317,21,278,1595,1574
C1099,1991,247,400,2391,2144
C1100,8548,698,965,9513,8815
C1101,1183,118,298,1481,1363
C1102,3948,2027,2488,6436,4409
C1103,2435,0,51,2486,2486
C1104,1725,256,297,2022,1766
C1105,6148,2165,948,7096,4931
C1106,1712,339,251,1963,1624
C1107,4723,405,537,5260,4855
C1108,1290,0,17,1307,1307
C1109,2477,253,493,2970,2717
C1110,2580,1027,595,3175,2148
C1111,2706,331,305,3011,2680
C1112,2760,312,324,3084,2772
C1113,6832,891,1447,8279,7388
C1114,2057,609,969,3026,2417
C1115,1447,284,390,1837,1553
C1116,1277,54,558,1835,1781
C1117,2323,0,125,2448,2448
C1118,2173,383,783,2956,2573
C1119,3714,114,343,4057,3943
C1120,60,473,413,473,0
C1121,524,0,156,680,680
C1122,315,0,253,568,568
C1123,519,7,94,613,606
C1124,943,0,235,1178,1178
C1125,719,36,206,925,889
C1126,3645,0,216,3861,3861
C1127,626,0,77,703,703
C1128,2402,20,330,2732,2712
C1129,3329,864,1112,4441,3577
C1130,1253,0,239,1492,1492
C1131,557,0,147,704,704
C1132,653,0,193,846,846
C1133,881,0,70,951,951
C1134,44639,6530,1976,46615,40085
C1135,562,0,61,623,623
C1136,737,1,286,1023,1022
C1137,2888,4,806,3694,3690
C1138,658,0,179,837,837
C1139,822,36,355,1177,1141
C1140,358,37,1438,1796,1759
C1141,21344,13105,3286,24630,11525
C1142,2916,712,607,3523,2811
C1143,826,249,267,1093,844
C1144,1361,0,120,1481,1481
C1145,1564,0,113,1677,1677
C1146,2753,0,87,2840,2840
C1147,25069,10034,3580,28649,18615
C1148,2801,615,1040,3841,3226
C1149,3935,985,1546,5481,4496
C1150,526,426,431,957,531
C1151,1781,650,563,2344,1694
C1152,5124,3580,3830,8954,5374
C1153,1654,217,159,1813,1596
C1154,4826,1691,807,5633,3942
C1155,1685,399,672,2357,1958
C1156,6535,998,1013,7548,6550
C1157,7411,752,936,8347,7595
C1158,2129,0,58,2187,2187
C1159,1526,0,8,1534,1534
C1160,31436,9202,5834,37270,28068
C1161,1061,0,39,1100,1100
C1162,1582,0,14,1596,1596
C1163,694,40,310,1004,964
C1164,7876,3654,2820,10696,7042
C1165,1318,0,10,1328,1328
C1166,1563,592,627,2190,1598
C1167,13250,2134,2595,15845,13711
C1168,1264,53,102,1366,1313
C1169,3573,1601,1452,5025,3424
C1170,2670,2277,1995,4665,2388
C1171,332,91,330,662,571
C1172,4492,240,758,5250,5010
C1173,8527,2488,416,8943,6455
C1174,3276,167,178,3454,3287
C1175,9594,968,775,10369,9401
C1176,2436,73,497,2933,2860
C1177,3982,530,683,4665,4135
C1178,5802,1195,2898,8700,7505
C1179,13662,3033,2725,16387,13354
C1180,4041,321,691,4732,4411
C1181,1981,577,622,2603,2026
C1182,635,0,16,651,651
C1183,2156,314,810,2966,2652
C1184,2661,357,608,3269,2912
C1185,2470,0,42,2512,2512
C1186,1672,368,29,1701,1333
C1187,10022,1131,1597,11619,10488
C1188,2668,863,930,3598,2735
C1189,1807,50,77,1884,1834
C1190,18963,4372,2340,21303,16931
C1191,1010,28,162,1172,1144
C1192,754,570,400,1154,584
C1193,867,159,302,1169,1010
C1194,775,587,558,1333,746
C1195,744,210,71,815,605
C1196,3388,344,670,4058,3714
C1197,2722,156,231,2953,2797
C1198,2592,85,285,2877,2792
C1199,2390,66,917,3307,3241
C1200,817,0,7,824,824
C1201,1007,0,32,1039,1039
C1202,2102,209,364,2466,2257
C1203,1395,310,38,1433,1123
C1204,2430,124,869,3299,3175
C1205,1376,0,348,1724,1724
C1206,28022,7784,3942,31964,24180
C1207,8199,611,1279,9478,8867
C1208,2945,526,518,3463,2937
C1209,4236,137,1209,5445,5308
C1210,516,0,20,536,536
C1211,4928,1082,1202,6130,5048
C1212,1598,0,17,1615,1615
C1213,1586,68,179,1765,1697
C1214,2526,462,1938,4464,4002
C1215,1244,253,1885,3129,2876
C1216,714,69,165,879,810
C1217,652,157,573,1225,1068
C1218,1588,449,1687,3275,2826
C1219,536,0,255,791,791
C1220,9146,1556,3379,12525,10969
C1221,938,308,470,1408,1100
C1222,6031,2602,4204,10235,7633
C1223,220,69,354,574,505
C1224,7150,849,3249,10399,9550
C1225,6102,1409,813,6915,5506
C1226,5282,1510,1352,6634,5124
C1227,1249,131,455,1704,1573
C1228,1761,332,284,2045,1713
C1229,1135,409,442,1577,1168
C1230,1099,232,402,1501,1269
C1231,3403,1690,1177,4580,2890
C1232,11577,2871,3114,14691,11820
C1233,612,35,34,646,611
C1234,234,0,104,338,338
C1235,1363,426,448,1811,1385
C1236,2369,384,206,2575,2191
C1237,1534,0,20,1554,1554
C1238,879,0,144,1023,1023
C1239,3997,372,925,4922,4550
C1240,2983,2239,969,3952,1713
C1241,1016,0,128,1144,1144
C1242,1132,0,36,1168,1168
C1243,14385,4257,7095,21480,17223
C1244,18280,2719,5601,23881,21162
C1245,1086,225,112,1198,973
C1246,2027,13,13,2040,2027
C1247,1669,81,32,1701,1620
C1248,2544,430,711,3255,2825
C1249,991,16,93,1084,1068
C1250,9676,1377,1998,11674,10297
C1251,26283,8848,3747,30030,21182
C1252,5988,398,1435,7423,7025
C1253,6269,2067,2614,8883,6816
C1254,9521,1066,1597,11118,10052
C1255,1687,914,719,2406,1492
C1256,1928,211,127,2055,1844
C1257,3047,1167,946,3993,2826
C1258,11965,5922,792,12757,6835
C1259,3831,734,630,4461,3727
C1260,5177,1063,1359,6536,5473
C1261,1220,16,3,1223,1207
C1262,15016,2324,600,15616,13292
C1263,1145,1034,1420,2565,1531
C1264,7841,1761,3072,10913,9152
C1265,3113,1987,2309,5422,3435
C1266,1705,1218,893,2598,1380
C1267,1086,51,161,1247,1196
C1268,1002,441,840,1842,1401
C1269,6549,4622,5042,11591,6969
C1270,1792,448,428,2220,1772
C1271,2315,739,595,2910,2171
C1272,3711,3311,4453,8164,4853
C1273,6937,271,6820,13757,13486
C1274,1848,1602,2643,4491,2889
C1275,28486,7834,11054,39540,31706
C1276,1020,70,150,1170,1100
C1277,840,47,133,973,926
C1278,5254,2194,3431,8685,6491
C1279,569,0,40,609,609
C1280,7356,4653,6679,14035,9382
C1281,4184,846,3247,7431,6585
C1282,1392,424,1337,2729,2305
C1283,1332,471,670,2002,1531
C1284,2998,429,494,3492,3063
C1285,1034,4,182,1216,1212
C1286,3984,677,1886,5870,5193
C1287,27282,7072,11033,38315,31243
C1288,2498,1372,429,2927,1555
C1289,14138,2823,5915,20053,17230
C1290,6018,1065,6267,12285,11220
C1291,216,0,27,243,243
C1292,6828,1552,1455,8283,6731
C1293,6356,2663,272,6628,3965
C1294,3651,772,1210,4861,4089
C1295,1623,1953,1902,3525,1572
C1296,14132,2955,5078,19210,16255
C1297,1095,71,41,1136,1065
C1298,3279,1475,589,3868,2393
C1299,8541,4572,2388,10929,6357
C1300,1488,312,524,2012,1700
C1301,1519,0,16,1535,1535
C1302,9895,1766,2877,12772,11006
C1303,28185,4541,7361,35546,31005
C1304,651,17,157,808,791
C1305,157,0,15,172,172
C1306,1378,839,1464,2842,2003
C1307,8278,1959,5029,13307,11348
C1308,7665,2799,4564,12229,9430
C1309,,,,,
C1310,48780,11625,6917,55697,44072
C1311,19318,7639,14011,33329,25690
C1312,47741,12080,4318,52059,39979
C1313,16006,8144,5187,21193,13049
C1314,14241,3307,8762,23003,19696
C1315,4711,1885,2765,7476,5591
C1316,8936,1285,989,9925,8640
C1317,931,0,40,971,971
C1318,1268,12,73,1341,1329
C1319,2124,885,3007,5131,4246
C1320,21943,4281,6680,28623,24342
C1321,6936,2415,1767,8703,6288
C1322,28287,6067,4824,33111,27044
C1323,1904,673,493,2397,1724
C1324,8428,5543,6630,15058,9515
C1325,2259,197,99,2358,2161
C1326,1235,1707,4987,6222,4515
C1327,6025,1471,2352,8377,6906
C1328,1327,4,65,1392,1388
C1329,27114,3358,4009,31123,27765
C1330,2505,0,377,2882,2882
C1331,5165,0,3185,8350,8350
C1332,5421,728,2324,7745,7017
C1333,320,0,0,320,320
C1334,351,0,0,351,351
C1335,16436,3427,11376,27812,24385
C1336,15755,194,14809,30564,30370
C1337,23084,7585,8993,32077,24492
C1338,11155,657,14000,25155,24498
C1339,2680,813,428,3108,2295
C1340,720,119,18,738,619
C1341,164,23,79,243,220
C1342,1877,107,298,2175,2068
C1343,2635,407,670,3305,2898
C1344,582,383,10,592,209
C1345,819,250,21,840,590
C1346,993,206,699,1692,1486
C1347,1259,104,260,1519,1415
C1348,228,0,32,260,260
C1349,2477,0,18,2495,2495
C1350,3126,961,291,3417,2456
C1351,2004,380,374,2378,1998
C1352,184,443,259,443,0
C1353,142,95,129,271,176
C1354,453,0,27,480,480
C1355,104,0,12,116,116
C1356,1049,0,494,1543,1543
C1357,11001,1811,1722,12723,10912
C1358,864,29,42,906,877
C1359,726,5,116,842,837
C1360,1840,0,8,1848,1848
C1361,7850,2105,526,8376,6271
C1362,2530,3293,3163,5693,2400
C1363,5066,138,166,5232,5094
C1364,894,23,65,959,936
C1365,1252,456,388,1640,1184
C1366,1492,0,20,1512,1512
C1367,21421,11927,12496,33917,21990
C1368,1068,0,2,1070,1070
C1369,4116,880,506,4622,3742
C1370,616,170,134,750,580
C1371,18626,1750,1555,20181,18431
C1372,36353,29874,40985,77338,47464
C1373,4265,463,695,4960,4497
C1374,2335,535,378,2713,2178
C1375,1149,270,562,1711,1441
C1376,3989,448,842,4831,4383
C1377,2682,1090,804,3486,2396
C1378,5428,707,1300,6728,6021
C1379,16957,5009,7871,24828,19819
C1380,9166,1015,762,9928,8913
C1381,1295,0,20,1315,1315
C1382,663,17,19,682,665
C1383,3554,925,586,4140,3215
C1384,1964,0,65,2029,2029
C1385,2683,1853,1320,4003,2150
C1386,636,0,26,662,662
C1387,687,7,23,710,703
C1388,1471,0,820,2291,2291
C1389,333,0,45,378,378
C1390,28425,7171,2780,31205,24034
C1391,24803,7618,6171,30974,23356
C1392,21086,7377,2378,23464,16087
C1393,1675,0,0,1675,1675
C1394,5164,690,599,5763,5073
C1395,1700,390,49,1749,1359
C1396,1349,0,110,1459,1459
C1397,2273,422,4,2277,1855
C1398,9458,864,1829,11287,10423
C1399,1367,1096,1001,2368,1272
C1400,10544,1113,2247,12791,11678
C1401,3955,311,443,4398,4087
C1402,5490,2709,2115,7605,4896
C1403,719,252,409,1128,876
C1404,182,0,12,194,194
C1405,1436,295,297,1733,1438
C1406,3201,320,261,3462,3142
C1407,2756,268,56,2812,2544
C1408,1193,359,594,1787,1428
C1409,3609,904,661,4270,3366
C1410,5780,2814,1642,7422,4608
C1411,1802,231,115,1917,1686
C1412,23604,4572,4038,27642,23070
C1413,38327,14006,5435,43762,29756
C1414,13457,924,1493,14950,14026
C1415,1505,0,36,1541,1541
C1416,2373,211,196,2569,2358
C1417,1060,65,57,1117,1052
C1418,718,33,8,726,693
C1419,1440,0,307,1747,1747
C1420,1788,549,147,1935,1386
C1421,2339,262,428,2767,2505
C1422,847,0,27,874,874
C1423,3541,266,691,4232,3966
C1424,1114,0,736,1850,1850
C1425,9949,3651,3458,13407,9756
C1426,383,41,68,451,410
C1427,2128,0,1333,3461,3461
C1428,3371,231,850,4221,3990
C1429,1922,55,755,2677,2622
C1430,2269,116,507,2776,2660
C1431,967,0,255,1222,1222
C1432,1433,102,36,1469,1367
C1433,25796,6709,3670,29466,22757
C1434,1087,439,532,1619,1180
C1435,1750,674,786,2536,1862
C1436,1254,0,52,1306,1306
C1437,3988,1714,419,4407,2693
C1438,2901,415,633,3534,3119
C1439,2583,86,405,2988,2902
C1440,4676,3580,3267,7943,4363
C1441,1796,896,1098,2894,1998
C1442,1148,834,2658,3806,2972
C1443,1518,0,35,1553,1553
C1444,717,89,318,1035,946
C1445,1384,500,804,2188,1688
C1446,10164,3417,1618,11782,8365
C1447,2341,199,317,2658,2459
C1448,1070,555,411,1481,926
C1449,255,66,72,327,261
C1450,538,0,14,552,552
C1451,888,0,16,904,904
C1452,2118,62,104,2222,2160
C1453,223,178,456,679,501
C1454,1926,683,836,2762,2079
C1455,10308,1163,1719,12027,10864
C1456,9616,519,1307,10923,10404
C1457,4388,223,2280,6668,6445
C1458,9577,818,943,10520,9702
C1459,1011,108,167,1178,1070
C1460,9375,1278,4525,13900,12622
C1461,3365,128,1213,4578,4450
C1462,7088,1105,2225,9313,8208
C1463,2071,134,590,2661,2527
C1464,38428,11949,4249,42677,30728
C1465,21548,4768,5868,27416,22648
C1466,7136,850,1576,8712,7862
C1467,5375,378,785,6160,5782
C1468,8770,348,891,9661,9313
C1469,9743,2661,3035,12778,10117
C1470,15585,11072,2761,18346,7274
C1471,34871,9348,4923,39794,30446
C1472,386,0,247,633,633
C1473,404,80,15,419,339
C1474,666,667,320,986,319
C1475,265,207,110,375,168
C1476,587,725,138,725,0
C1477,495,654,389,884,230
C1478,131,194,179,310,116
C1479,2235,535,707,2942,2407
C1480,3037,3861,4709,7746,3885
C1481,793,0,0,793,793
C1482,227,322,95,322,0
C1483,4774,0,904,5678,5678
C1484,9177,562,2123,11300,10738
C1485,1323,201,755,2078,1877
C1486,495,0,0,495,495
C1487,3699,500,905,4604,4104
C1488,3463,669,832,4295,3626
C1489,626,0,413,1039,1039
C1490,188,0,2,190,190
C1491,1203,68,49,1252,1184
C1492,412,0,0,412,412
C1493,1314,23,1791,3105,3082
C1494,2256,25,2127,4383,4358
C1495,903,4,646,1549,1545
C1496,341,0,103,444,444
C1497,5205,426,527,5732,5306
C1498,1077,18,1180,2257,2239
C1499,1619,757,3651,5270,4513
C1500,1900,0,52,1952,1952
C1501,353,103,188,541,438
C1502,3,52,338,341,289
C1503,46733,11240,0,46733,35493
C1504,10539,1170,3538,14077,12907
C1505,1262,0,400,1662,1662
C1506,207,0,76,283,283
C1507,2541,159,0,2541,2382
C1508,1393,23,136,1529,1506
C1509,26,100,88,114,14
C1510,517,143,366,883,740
C1511,1199,0,2178,3377,3377
C1512,4401,177,739,5140,4963
C1513,2035,5,1765,3800,3795
C1514,439,0,39,478,478
C1515,1445,225,3110,4555,4330
C1516,2286,0,39,2325,2325
C1517,965,82,23,988,906
C1518,281,55,63,344,289
C1519,140,0,0,140,140
C1520,115,410,295,410,0
C1521,6832,0,2887,9719,9719
C1522,898,927,755,1653,726
C1523,1118,196,0,1118,922
C1524,322,0,0,322,322
C1525,67,0,261,328,328
C1526,2792,635,1868,4660,4025
C1527,305,220,57,362,142
C1528,382,431,839,1221,790
C1529,57,159,158,215,56
C1530,875,149,1002,1877,1728
C1531,493,0,23,516,516
C1532,1,75,457,458,383
C1533,66,0,0,66,66
C1534,32,43,93,125,82
