ID,ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile)
C1015,25,30,550,670,550,660,560,650
C1016,,,,,,,,
C1017,23,27,500,600,510,610,490,590
C1018,,,,,,,,
C1019,15,19,350,485,385,510,,
C1020,18,24,410,520,430,560,400,500
C1021,,,,,,,,
C1022,,,,,,,,
C1023,20,24,,,,,,
C1024,18,23,370,530,430,560,,
C1025,,,,,,,,
C1026,18,23,,,,,,
C1027,17,22,,,,,,
C1028,22,28,460,620,450,610,440,570
C1029,16,21,,,,,,
C1030,22,28,490,600,520,620,,
C1031,21,27,460,600,470,600,,
C1032,23,29,490,620,500,610,480,620
C1033,23,29,500,630,530,650,,
C1034,20,25,460,570,450,560,,
C1035,17,23,,,,,,
C1036,,,,,,,,
C1037,18,24,475,545,430,530,,
C1038,18,22,,,,,,
C1039,17,23,420,575,440,605,410,570
C1040,18,24,,,,,,
C1041,25,32,560,710,570,690,,
C1042,18,24,440,550,450,550,,
C1043,,,410,530,410,520,410,500
C1044,20,26,470,600,470,600,460,590
C1045,26,31,600,700,580,670,580,690
C1046,21,26,480,600,500,600,470,570
C1047,,,,,,,,
C1048,18,23,450,535,435,530,430,540
C1049,20,25,440,550,460,580,420,530
C1050,21,27,480,600,490,630,,
C1051,22,27,490,600,500,620,,
C1052,21,27,490,600,500,610,,
C1053,,,460,590,460,580,,
C1054,,,550,650,540,650,,
C1055,28,33,660,750,620,720,638,720
C1056,,,450,570,460,560,430,540
C1057,,,,,,,,
C1058,20,26,480,590,470,590,450,568
C1059,24,29,540,660,540,650,535,640
C1060,,,410,530,420,540,,
C1061,20,25,460,580,460,550,420,530
C1062,20,25,460,560,470,570,,
C1063,23,29,530,640,540,650,520,630
C1064,22,26,470,590,460,600,,
C1065,18,22,440,530,450,540,440,530
C1066,22,27,500,600,500,578,490,590
C1067,19,23,440,530,460,550,430,530
C1068,27,32,600,710,610,760,620,720
C1069,27,32,580,680,620,720,600,690
C1070,17,23,390,500,390,500,380,500
C1071,17,21,440,530,440,540,410,510
C1072,17,23,435,525,420,510,420,520
C1073,30,34,640,740,700,790,650,750
C1074,17,24,430,520,410,530,410,510
C1075,,,,,,,,
C1076,19,23,430,540,420,520,420,520
C1077,,,,,,,,
C1078,,,400,510,400,520,380,500
C1079,19,25,430,563,450,560,420,540
C1080,27,31,590,675,600,690,590,680
C1081,24,30,510,630,560,680,520,630
C1082,22,27,510,600,520,610,500,600
C1083,18,22,430,480,450,530,,
C1084,18,24,480,570,470,570,470,560
C1085,17,22,410,520,410,520,400,500
C1086,21,28,490,610,510,620,,
C1087,,,,,,,,
C1088,20,26,460,560,470,590,,
C1089,20,26,470,590,480,600,450,570
C1090,27,29,600,690,600,680,,
C1091,,,,,,,,
C1092,16,22,430,520,420,530,420,520
C1093,30,33,660,750,650,740,660,750
C1094,16,22,420,510,430,510,410,510
C1095,18,21,420,530,420,520,430,530
C1096,17,22,440,530,450,540,430,520
C1097,,,,,,,,
C1098,17,21,400,500,400,500,390,490
C1099,,,,,,,,
C1100,18,22,430,520,440,530,420,510
C1101,17,24,400,520,400,520,380,470
C1102,19,25,440,550,440,550,,
C1103,27,31,570,670,610,700,580,690
C1104,22,27,490,600,510,620,,
C1105,28,32,580,670,640,740,,
C1106,15,20,380,470,390,470,370,460
C1107,17,23,410,510,430,520,410,500
C1108,21,26,460,570,470,580,450,550
C1109,19,23,420,530,430,540,400,500
C1110,,,470,570,480,580,460,570
C1111,21,26,470,580,470,580,460,560
C1112,23,29,520,620,510,640,500,620
C1113,19,24,460,550,460,560,440,540
C1114,20,26,470,560,500,580,,
C1115,,,,,,,,
C1116,18,22,400,490,410,510,385,490
C1117,25,31,570,670,570,670,570,670
C1118,16,20,390,470,380,480,380,470
C1119,19,25,460,560,490,600,440,540
C1120,,,,,,,,
C1121,16,27,430,550,430,570,410,520
C1122,15,22,400,480,390,510,380,480
C1123,19,23,430,550,440,570,410,500
C1124,19,22,420,520,410,530,410,500
C1125,19,28,430,550,450,570,420,530
C1126,19,23,440,530,450,560,430,530
C1127,16,24,420,530,420,540,390,500
C1128,19,25,430,530,440,570,410,520
C1129,22,24,440,550,460,600,430,540
C1130,17,23,420,520,440,560,410,530
C1131,20,22,420,520,410,550,390,505
C1132,18,21,410,520,400,550,390,500
C1133,20,24,410,520,420,540,400,500
C1134,25,29,530,630,560,670,540,640
C1135,18,24,410,520,420,560,390,500
C1136,20,23,410,530,420,555,390,510
C1137,18,24,390,510,430,550,390,510
C1138,18,21,360,485,360,490,360,470
C1139,21,25,410,540,440,570,415,520
C1140,,,,,,,,
C1141,30,34,670,760,690,780,690,780
C1142,21,25,480,570,480,590,470,570
C1143,18,26,443,588,430,550,,
C1144,19,23,420,530,440,550,410,520
C1145,20,24,460,540,470,560,440,530
C1146,20,24,450,550,470,570,440,540
C1147,26,30,570,660,600,680,560,660
C1148,19,25,450,560,420,540,440,550
C1149,21,24,460,550,480,590,450,550
C1150,19,23,410,530,390,510,,
C1151,20,25,460,510,470,590,460,560
C1152,22,26,510,590,510,610,510,600
C1153,20,25,450,570,460,580,455,570
C1154,22,27,510,600,520,610,,
C1155,19,26,450,570,450,580,440,570
C1156,18,22,440,530,450,550,430,520
C1157,19,23,450,540,470,550,440,530
C1158,23,27,510,620,510,610,490,610
C1159,31,34,680,760,670,770,680,770
C1160,22,27,500,610,510,620,500,610
C1161,18,23,430,520,440,540,,
C1162,24,30,520,640,540,640,530,640
C1163,19,25,470,510,420,530,,
C1164,29,31,590,690,620,710,600,690
C1165,,,,,,,,
C1166,20,25,450,560,440,550,,
C1167,,,500,590,520,600,490,590
C1168,20,25,460,580,460,570,445,560
C1169,,,450,550,470,580,,
C1170,,,470,570,480,600,450,560
C1171,19,24,440,570,420,550,430,560
C1172,20,25,470,560,480,578,450,550
C1173,29,34,660,760,670,780,670,770
C1174,23,27,510,590,540,630,500,590
C1175,,,,,,,,
C1176,,,,,,,,
C1177,23,28,520,620,530,640,530,640
C1178,17,22,410,520,410,520,410,520
C1179,22,26,480,580,490,590,480,580
C1180,,,,,,,,
C1181,23,26,510,590,510,600,505,600
C1182,,,,,,,,
C1183,21,26,480,600,480,580,460,580
C1184,18,23,430,540,440,540,,
C1185,,,,,,,,
C1186,15,22,400,540,410,510,378,510
C1187,23,28,530,630,540,630,,
C1188,21,25,480,590,500,600,450,560
C1189,15,21,380,490,380,510,,
C1190,26,31,560,660,590,680,490,610
C1191,18,22,430,520,440,530,,
C1192,19,25,480,620,460,580,460,590
C1193,20,24,470,570,450,560,,
C1194,21,26,480,590,480,570,,
C1195,19,24,450,550,460,560,,
C1196,17,22,410,530,420,530,390,500
C1197,25,30,550,670,570,670,,
C1198,18,22,413,530,420,520,410,500
C1199,20,23,450,530,480,560,,
C1200,,,,,,,,
C1201,17,22,410,520,420,540,370,500
C1202,21,29,450,670,470,670,440,660
C1203,22,28,490,600,510,610,,
C1204,18,23,430,540,440,540,410,520
C1205,18,22,410,500,420,510,,
C1206,24,29,540,640,560,650,,
C1207,19,23,450,530,460,550,,
C1208,17,19,400,416,425,436,,
C1209,19,23,440,530,440,540,,
C1210,,,,,,,,
C1211,19,25,460,570,460,570,,
C1212,24,29,540,620,540,640,520,620
C1213,21,27,,,,,,
C1214,19,23,423,635,430,594,408,510
C1215,19,24,400,620,440,550,,
C1216,19,27,400,580,410,590,,
C1217,20,25,,,,,,
C1218,19,25,,,370,580,420,540
C1219,18,22,380,470,410,470,340,450
C1220,20,25,440,590,460,600,,
C1221,20,26,400,460,410,510,430,480
C1222,21,26,,,460,620,430,580
C1223,23,27,420,520,370,440,,
C1224,19,24,430,540,430,560,,
C1225,24,29,540,640,530,630,,
C1226,17,22,390,510,445,505,,
C1227,20,25,450,600,470,600,460,580
C1228,20,26,445,575,465,580,,
C1229,21,27,,,,,,
C1230,19,23,420,540,430,530,420,530
C1231,22,28,520,650,510,650,,
C1232,19,25,440,550,450,550,,
C1233,17,18,420,430,430,440,420,430
C1234,,,,,,,,
C1235,21,27,480,600,470,570,,
C1236,20,25,450,560,470,560,,
C1237,13,16,360,510,280,530,640,680
C1238,14,17,,,,,,
C1239,21,27,490,600,460,580,,
C1240,19,27,480,500,500,540,,
C1241,,,,,,,,
C1242,21,26,450,550,450,550,,
C1243,19,25,450,600,460,600,450,580
C1244,19,24,450,580,450,570,,
C1245,22,26,480,583,460,583,450,600
C1246,27,31,590,690,580,680,,
C1247,26,30,580,670,560,650,570,670
C1248,20,25,470,600,450,580,460,590
C1249,19,24,430,510,450,540,,
C1250,21,25,470,590,470,590,,
C1251,24,29,520,640,520,650,,
C1252,20,25,,,,,,
C1253,,,,,,,,
C1254,20,26,450,600,470,650,,
C1255,19,26,480,590,450,570,,
C1256,18,23,400,520,440,520,,
C1257,22,29,580,680,520,670,,
C1258,32,34,700,780,710,790,680,770
C1259,21,27,470,580,490,600,450,560
C1260,18,23,420,520,440,540,,
C1261,23,27,540,660,560,670,520,630
C1262,24,29,550,660,570,670,530,640
C1263,20,25,450,550,480,570,,
C1264,17,23,420,520,450,540,400,500
C1265,18,27,472,656,476,648,,
C1266,24,30,550,680,540,650,530,660
C1267,18,22,430,520,450,530,,
C1268,19,23,430,540,460,560,410,530
C1269,18,24,430,540,450,550,,
C1270,20,25,450,550,480,560,430,530
C1271,21,27,470,580,490,590,450,560
C1272,,,,,,,,
C1273,16,21,380,480,420,510,,
C1274,16,21,390,490,420,518,,
C1275,22,27,490,610,540,640,,
C1276,18,22,420,520,440,530,,
C1277,13,17,350,450,350,450,,
C1278,18,23,430,520,440,540,,
C1279,,,,,,,,
C1280,18,23,430,530,440,550,,
C1281,16,20,390,491,410,520,,
C1282,22,30,500,640,530,660,,
C1283,19,24,440,560,450,570,420,560
C1284,21,27,460,560,480,580,430,530
C1285,18,24,420,540,440,550,,
C1286,19,23,440,540,460,550,420,520
C1287,21,26,490,600,510,610,,
C1288,14,21,400,490,420,500,,
C1289,18,21,410,510,440,540,400,500
C1290,,,,,,,,
C1291,13,18,360,440,360,450,380,490
C1292,15,20,370,460,380,480,360,450
C1293,31,34,670,760,700,790,670,770
C1294,22,26,510,610,510,610,490,600
C1295,23,28,490,590,510,620,483,588
C1296,19,23,450,540,470,550,,
C1297,19,24,430,540,450,550,420,520
C1298,21,24,470,570,480,580,450,545
C1299,27,31,600,690,620,700,590,680
C1300,,,,,,,,
C1301,22,29,520,640,540,640,,
C1302,19,24,430,540,460,550,420,520
C1303,21,25,460,560,480,570,440,540
C1304,17,22,420,550,410,540,,
C1305,,,,,,,,
C1306,15,21,360,490,380,500,360,470
C1307,19,23,430,530,450,550,410,500
C1308,16,21,380,490,410,520,,
C1309,,,,,,,,
C1310,23,29,520,630,550,660,490,610
C1311,20,26,460,580,500,620,450,560
C1312,25,31,550,670,590,710,550,680
C1313,25,31,550,670,600,700,,
C1314,17,22,390,500,420,530,,
C1315,21,25,470,560,490,598,450,550
C1316,25,29,540,620,550,650,540,640
C1317,,,,,,,,
C1318,20,25,450,560,480,580,430,540
C1319,19,23,450,550,475,570,,
C1320,20,25,450,570,490,590,440,540
C1321,15,19,370,450,380,470,350,440
C1322,22,27,490,590,520,620,470,560
C1323,19,22,460,550,480,540,423,520
C1324,17,23,410,530,430,540,400,520
C1325,26,31,560,690,590,680,,
C1326,17,23,400,510,410,530,370,480
C1327,19,24,420,540,440,540,,
C1328,,,,,,,,
C1329,26,31,570,680,580,680,,
C1330,21,26,470,590,480,580,,
C1331,,,,,,,,
C1332,20,26,470,570,460,580,440,550
C1333,,,,,,,,
C1334,,,,,,,,
C1335,20,27,480,610,490,630,,
C1336,,,,,,,,
C1337,21,27,483,620,500,648,480,610
C1338,,,,,,,,
C1339,22,28,500,610,500,610,,
C1340,,,,,,,,
C1341,,,,,,,,
C1342,17,23,420,520,430,540,410,500
C1343,22,28,500,620,490,620,490,600
C1344,,,,,,,,
C1345,,,,,,,,
C1346,15,23,430,540,410,530,420,520
C1347,18,21,410,520,400,530,400,510
C1348,,,,,,,,
C1349,31,33,630,740,640,740,650,750
C1350,21,26,470,570,480,590,,
C1351,23,28,530,650,530,640,530,630
C1352,,,,,,,,
C1353,16,18,335,500,370,485,325,545
C1354,16,20,400,490,390,490,400,478
C1355,,,,,,,,
C1356,16,21,410,520,430,530,400,510
C1357,24,29,540,640,540,650,540,650
C1358,17,22,420,520,420,530,380,480
C1359,16,21,390,500,410,510,,
C1360,20,25,460,560,470,570,430,550
C1361,28,32,640,740,630,720,620,720
C1362,19,25,500,630,460,570,,
C1363,23,28,540,630,530,620,,
C1364,18,25,430,560,450,560,410,540
C1365,18,25,433,568,430,560,423,550
C1366,14,20,390,490,390,490,370,470
C1367,24,28,520,620,530,630,,
C1368,22,27,495,600,510,615,480,575
C1369,18,23,460,550,460,540,,
C1370,21,27,500,640,470,580,,
C1371,23,27,520,620,530,630,,
C1372,19,26,460,570,440,570,,
C1373,19,23,460,550,460,540,,
C1374,19,24,450,550,440,560,440,540
C1375,18,25,430,550,400,510,410,540
C1376,22,26,510,620,500,590,490,600
C1377,20,24,470,570,460,560,460,560
C1378,16,20,400,480,400,480,380,460
C1379,18,23,460,560,470,570,,
C1380,18,22,450,540,450,540,440,520
C1381,21,26,490,590,490,590,480,580
C1382,21,28,490,610,480,590,480,590
C1383,28,31,590,690,620,720,600,690
C1384,21,26,490,600,490,590,490,580
C1385,19,26,440,550,450,570,430,550
C1386,17,26,460,570,458,560,440,553
C1387,21,27,480,620,458,590,,
C1388,17,22,430,530,430,520,410,500
C1389,18,22,410,545,380,475,,
C1390,,,540,640,580,680,540,640
C1391,21,26,500,610,500,600,490,590
C1392,29,33,620,720,630,740,620,720
C1393,22,27,520,620,530,630,490,600
C1394,15,18,370,450,360,445,360,440
C1395,13,17,340,420,330,420,,
C1396,18,24,458,573,450,570,,
C1397,30,33,650,740,660,720,650,730
C1398,18,23,430,550,450,550,420,520
C1399,,,,,,,,
C1400,18,23,420,540,430,550,410,520
C1401,20,27,500,630,450,580,460,590
C1402,25,29,540,640,550,650,,
C1403,,,,,,,,
C1404,,,373,515,360,547,,
C1405,19,28,480,600,470,570,480,570
C1406,22,28,490,610,490,610,470,590
C1407,25,30,570,670,550,660,550,670
C1408,19,25,470,580,480,600,460,570
C1409,23,28,520,630,510,610,500,620
C1410,24,29,520,640,530,630,520,630
C1411,20,27,460,600,460,600,450,570
C1412,19,25,450,570,460,580,440,550
C1413,25,30,520,650,580,710,530,640
C1414,22,28,490,620,500,600,,
C1415,28,32,610,730,610,693,608,700
C1416,,,,,,,,
C1417,19,24,420,520,450,530,400,490
C1418,17,24,380,530,390,510,370,490
C1419,17,21,410,500,420,430,370,510
C1420,19,24,410,515,420,535,,
C1421,18,24,430,530,420,520,410,520
C1422,17,23,400,520,410,540,,
C1423,18,23,410,520,420,520,,
C1424,16,21,360,480,370,460,,
C1425,20,24,450,550,430,540,430,540
C1426,19,23,410,520,400,520,410,500
C1427,,,,,,,,
C1428,19,24,460,560,450,540,,
C1429,18,22,405,495,370,480,370,470
C1430,18,24,400,510,430,530,380,500
C1431,18,24,430,530,470,550,,
C1432,20,25,432,510,440,557,420,550
C1433,21,26,460,560,470,580,,
C1434,20,24,460,563,450,550,448,550
C1435,17,23,,,,,,
C1436,24,30,550,710,540,660,,
C1437,20,24,420,550,450,580,,
C1438,21,26,,,,,,
C1439,21,27,480,570,530,610,,
C1440,20,25,424,555,456,620,383,505
C1441,20,25,,,,,,
C1442,19,24,410,520,420,440,420,450
C1443,,,,,,,,
C1444,20,26,455,585,420,540,445,565
C1445,18,22,,,,,,
C1446,25,29,520,630,550,650,520,630
C1447,25,30,540,640,590,680,,
C1448,17,23,468,575,473,585,370,545
C1449,,,,,,,,
C1450,21,27,485,630,485,610,,
C1451,21,28,490,630,510,680,,
C1452,22,27,,,,,,
C1453,17,23,438,493,455,505,428,443
C1454,21,26,,,,,,
C1455,20,24,470,580,470,600,470,540
C1456,22,26,,,,,,
C1457,21,25,,,,,,
C1458,23,26,,,,,,
C1459,21,27,450,550,460,585,,
C1460,20,24,,,,,,
C1461,19,23,,,,,,
C1462,20,24,,,,,,
C1463,19,24,,,,,,
C1464,26,30,530,650,630,750,580,670
C1465,20,24,,,,,,
C1466,20,25,,,,,,
C1467,20,24,,,,,,
C1468,21,25,,,,,,
C1469,22,27,480,610,500,630,,
C1470,31,34,680,780,700,790,690,780
C1471,24,30,520,630,560,690,520,630
C1472,,,,,,,,
C1473,,,,,,,,
C1474,,,,,,,,
C1475,,,,,,,,
C1476,,,,,,,,
C1477,,,,,,,,
C1478,,,,,,,,
C1479,,,,,,,,
C1480,,,,,,,,
C1481,27,30,620,720,570,660,590,680
C1482,,,,,,,,
C1483,,,,,,,,
C1484,18,23,430,530,430,540,,
C1485,,,,,,,,
C1486,,,,,,,,
C1487,19,23,430,560,460,590,420,530
C1488,17,23,410,540,430,550,410,510
C1489,,,,,,,,
C1490,,,,,,,,
C1491,,,,,,,,
C1492,25,29,500,640,580,700,540,630
C1493,,,,,,,,
C1494,,,,,,,,
C1495,,,,,,,,
C1496,,,,,,,,
C1497,18,24,430,540,430,540,,
C1498,,,,,,,,
C1499,,,,,,,,
C1500,,,,,,,,
C1501,,,,,,,,
C1502,,,,,,,,
C1503,,,,,,,,
C1504,20,24,470,550,470,550,460,540
C1505,,,,,,,,
C1506,,,,,,,,
C1507,,,,,,,,
C1508,,,,,,,,
C1509,,,,,,,,
C1510,16,21,360,480,400,500,,
C1511,,,,,,,,
C1512,17,23,430,530,420,530,,
C1513,,,,,,,,
C1514,,,,,,,,
C1515,,,,,,,,
C1516,,,,,,,,
C1517,20,26,460,620,470,590,460,600
C1518,,,,,,,,
C1519,,,,,,,,
C1520,,,,,,,,
C1521,,,,,,,,
C1522,,,,,,,,
C1523,,,,,,,,
C1524,,,,,,,,
C1525,,,,,,,,
C1526,21,25,490,590,490,570,470,560
C1527,,,,,,,,
C1528,,,,,,,,
C1529,,,,,,,,
C1530,22,25,502,580,490,570,490,570
C1531,24,28,540,630,510,600,520,640
C1532,,,,,,,,
C1533,,,,,,,,
C1534,,,,,,,,
