ID,Endowment assets ($),Receiving financial aid (%),Tuition and fees 2010-11 ($),Tuition and fees 2011-12 ($),Tuition and fees 2012-13 ($),Tuition and fees 2013-14 ($),Degree of urbanization,Geographic region
C0322,788,77,7492,7879,8089,8460,City: Large,Great Lakes
C0965,17716,100,29310,30450,31364,31990,Suburb: Large,Great Lakes
C0106,86488,92,24542,25788,27080,27900,City: Large,Far West
C0776,962,95,2972,3284,3504,4000,Town: Remote,Southwest
C1468,2121,84,6845,7146,7505,7577,Town: Distant,Great Lakes
C0089,3473,80,11505,13416,13416,13397,City: Small,Far West
C0009,22092,76,7900,8698,9446,9852,City: Small,Southeast
C1431,9902,96,5164,5344,5558,5808,Rural: Fringe,Southeast
C0788,787,96,9525,11025,11025,11025,City: Large,Mid East
C1121,10806,93,12678,13048,13300,13412,Rural: Fringe,Mid East
C0327,16852,96,23000,25000,25950,26500,City: Large,Great Lakes
C0279,3835,87,5416,5796,6070,6344,City: Small,Rocky Mountains
C0227,2830,97,16430,17718,18596,19986,City: Small,Southeast
C1511,243,89,3563,4006,4498,4482,City: Large,Far West
C0215,1158,,,,,,Suburb: Large,Southeast
C0977,49493,100,27135,28950,30190,30290,Town: Fringe,Great Lakes
C0177,206497,41,42420,44070,45730,47510,City: Midsize,New England
C0815,3499,69,4164,4459,4790,5105,City: Large,Mid East
C0728,4753,92,5071,5318,5520,5574,Town: Distant,Plains
C0968,1196,91,5480,5672,5870,6058,Rural: Fringe,Great Lakes
C0390,9039,100,20222,21018,21826,22628,City: Midsize,Plains
C0747,5474,96,22400,23700,25050,25880,Suburb: Large,Mid East
C0816,39837,92,38602,40292,42057,43902,City: Large,Mid East
C0161,2997,83,24374,26294,28358,28378,City: Midsize,New England
C1520,3287,,,,,,City: Small,Mid East
C0157,6428,90,5997,6623,6514,6968,City: Small,Rocky Mountains
C1452,36623,99,28043,29395,30675,31866,Suburb: Midsize,Great Lakes
C0180,1528324,61,38300,40500,42300,44000,City: Midsize,New England
C1281,6117,99,5105,5409,5714,5818,City: Midsize,Southwest
C1475,2393,,,,,,City: Small,Far West
C0730,7827,92,5808,6428,6705,6690,City: Midsize,Far West
C1499,8465,100,9840,10080,10320,10800,Suburb: Large,Great Lakes
C0018,14086,93,16120,17220,18080,18690,Rural: Fringe,Southeast
C1216,29980,100,19850,20810,21750,22700,Town: Remote,Plains
C1257,7673,100,22390,24030,25650,26880,City: Small,Southeast
C1506,46,100,12240,13200,15020,15840,City: Small,Southeast
C0683,3316,100,17170,17780,17900,18300,Town: Remote,Plains
C1332,3223,88,4736,5198,5576,5924,Town: Remote,Rocky Mountains
C0951,6199,83,5124,5387,5925,6265,Rural: Fringe,Southeast
C0500,269,95,5547,5732,6065,6252,City: Large,Mid East
C1108,118787,100,30800,31818,32756,33746,City: Small,Mid East
C1500,15146,98,24429,25407,26412,27456,Suburb: Large,Southeast
C1144,144,97,12046,12496,12890,13078,Town: Remote,Mid East
C0244,4764,100,13520,14550,15700,16800,Town: Distant,Southeast
C0054,38304,99,19770,20766,21774,22734,Town: Distant,Southeast
C1432,28946,100,23980,24964,25804,26794,Town: Remote,Southeast
C0243,2488,93,2522,3622,3732,3910,City: Small,Southeast
C0140,52202,99,34460,35650,37020,38510,Suburb: Midsize,Far West
C0810,12120,100,21060,21760,22240,22850,City: Large,Mid East
C1118,8706,100,22256,23350,24232,24948,Suburb: Large,Mid East
C0957,1000,88,6934,7092,7254,7508,City: Small,Plains
C0306,4015,79,11417,11832,12726,13010,Suburb: Midsize,Great Lakes
C0576,107486,93,41084,41894,43774,45074,Suburb: Large,New England
C1006,1541,98,18390,19124,19890,20700,Town: Distant,Great Lakes
C0973,13467,100,24330,25890,27360,28690,Town: Distant,Great Lakes
C0735,581104,61,40437,42996,45042,46752,Town: Remote,New England
C0674,4603,98,16990,18000,19050,20040,City: Midsize,Plains
C0999,52745,83,9420,9735,10037,10037,City: Large,Great Lakes
C0403,40815,100,26837,28123,29529,30999,Town: Fringe,Plains
C1447,20755,97,29520,30990,32370,34470,City: Large,Great Lakes
C1386,1036,100,17800,18300,18900,18900,Town: Distant,Southeast
C1512,1610,70,5070,6316,6216,6471,Suburb: Midsize,Far West
C1127,9846,92,12730,13102,13350,13470,Suburb: Large,Mid East
C1514,,,,,,,City: Midsize,Southeast
C0887,44,77,5966,6324,6624,6624,Suburb: Large,Mid East
C1254,6754,98,5828,6406,6692,7063,Town: Remote,Southeast
C0354,26169,85,7885,8243,8605,8756,City: Large,Great Lakes
C0405,29408,99,29020,30960,32740,34250,Town: Distant,Plains
C1157,2334,89,7666,8505,8748,9027,Town: Distant,Mid East
C0228,4130,95,23218,23976,25222,25772,City: Large,Southeast
C1401,2222,85,6679,7486,8395,8574,Suburb: Midsize,Far West
C0265,137294,90,22010,23254,23794,24634,City: Large,Southeast
C0985,40982,99,28340,29690,30950,31940,Town: Fringe,Great Lakes
C1314,10862,86,6731,7065,7214,7255,City: Large,Southwest
C0467,59950,98,31754,33552,35182,36860,City: Large,Southeast
C0277,125,64,4666,5146,5602,6336,Suburb: Large,Far West
C0129,1675,70,5014,6276,6440,6450,City: Large,Far West
C0664,26319,99,7610,8100,8300,8900,Town: Distant,Southeast
C0195,10304,79,30900,31700,32600,33600,City: Small,Southeast
C0213,,50,7410,7410,7410,7410,City: Large,Southeast
C1130,7966,89,12730,13102,13356,13608,Suburb: Large,Mid East
C0193,3670,97,27200,28160,28160,28160,Suburb: Large,Southeast
C1458,1919,81,7911,8329,8761,8769,City: Small,Great Lakes
C1022,3381,88,4336,4590,4770,5055,City: Small,Southwest
C0454,6601,99,18150,19350,20550,22425,City: Large,Southeast
C1173,303300,64,40820,42230,43758,45612,City: Midsize,New England
C0780,2436,91,2696,2822,2827,4060,Town: Distant,Southwest
C0344,232634,98,34905,36970,38750,40640,Town: Distant,Great Lakes
C0733,5444,93,24515,25370,27654,28483,Town: Distant,Far West
C1365,14927,99,25200,26400,27970,29350,City: Small,Southeast
C0356,3890,88,5740,6032,6325,6698,Suburb: Midsize,Great Lakes
C1355,9916,100,26034,27552,29310,29894,Rural: Remote,New England
C1033,36571,74,7864,8325,8706,8916,Suburb: Midsize,Southwest
C0273,5157,100,17740,18440,19330,20090,City: Large,Far West
C1076,3776,98,28200,29200,30165,31170,City: Large,Mid East
C0991,4022,100,23630,24652,25514,26344,Suburb: Large,Great Lakes
C1494,9745,93,7380,7560,7740,8100,Suburb: Large,Great Lakes
C0629,10726,97,10990,11320,11770,12300,Town: Distant,Plains
C0051,18798,98,14040,14610,15240,16170,Town: Distant,Southeast
C1364,95410,100,26000,27040,28122,28966,Rural: Fringe,Southeast
C0358,2357,82,6109,6323,6541,6675,City: Small,Great Lakes
C0029,4018,81,5186,5396,5726,5147,City: Large,Far West
C1223,20013,100,18330,19050,19800,20550,City: Large,Southeast
C0209,32743,99,24662,26112,27200,28580,City: Small,Southeast
C1027,7921,96,4479,4968,5347,5642,Town: Remote,Southwest
C0845,3829,100,20500,21500,22500,23250,Suburb: Large,Mid East
C1530,4422,,,,,5587,Suburb: Large,Southeast
C0654,1616,100,17700,18420,19200,19970,City: Midsize,Southeast
C0909,18888,100,20070,21020,21950,22510,Town: Distant,Southeast
C1079,15150,100,29284,30704,31746,32890,Suburb: Large,Mid East
C1090,94361,74,41070,42610,44210,45870,City: Small,Mid East
C0267,4792,56,12510,13320,14080,14740,Town: Distant,Southeast
C0338,115766,81,27580,28960,30120,30880,Suburb: Large,Great Lakes
C1215,4392,94,6455,6897,7212,7506,Town: Distant,Plains
C0271,101523,100,18000,18500,19000,19775,City: Small,Southeast
C1466,2379,86,6772,7113,7457,7484,Town: Distant,Great Lakes
C0276,11735,95,15820,16610,18600,20180,City: Large,Far West
C0360,20689,71,9028,9524,10033,10209,City: Small,Great Lakes
C1446,41607,100,30462,31822,33244,34640,City: Large,Great Lakes
C0992,261456,88,41577,43210,44905,46870,Town: Fringe,Great Lakes
C0126,22824,94,35540,37302,39338,41290,City: Small,Far West
C0323,4882,100,25590,27590,28090,29890,Suburb: Small,Great Lakes
C1435,11564,100,20060,21069,22126,23231,City: Large,Great Lakes
C0659,27882,83,5436,5790,6282,6760,Town: Remote,Southeast
C1399,,64,14574,15280,14440,14880,City: Large,Far West
C1453,13413,100,21170,21820,22470,23180,Town: Distant,Great Lakes
C0859,44780,78,43564,45212,46924,48696,Suburb: Large,Mid East
C1017,21298,100,29970,31160,32070,33000,City: Large,Great Lakes
C0922,39732,99,25290,26524,27718,29310,City: Small,Southeast
C1502,4630,,,,,,Suburb: Large,Great Lakes
C1009,2960,81,20838,21566,21566,21566,Rural: Fringe,Great Lakes
C0720,11,87,5912,6320,6565,6542,Town: Remote,Plains
C1251,23336,96,7382,8396,9092,11194,City: Midsize,Southeast
C1212,95720,92,31710,33190,34555,35515,City: Small,Southeast
C0679,10988,95,13540,14000,14600,15150,City: Small,Plains
C1358,25676,100,22956,24480,25950,27500,Town: Remote,Southeast
C1448,9280,100,22118,23000,24080,25098,City: Large,Great Lakes
C1315,12416,83,6322,6592,7222,7222,City: Small,Southwest
C1169,14327,99,33270,34762,36382,38028,Suburb: Large,Mid East
C1445,3586,100,21490,22440,23440,24650,City: Small,Great Lakes
C1376,9026,68,7862,8926,9306,9720,Suburb: Midsize,Southeast
C0580,2073,88,7155,7653,8157,8157,City: Midsize,New England
C1205,50,91,8020,8158,8558,8972,Town: Fringe,Southeast
C0814,25291,99,35900,36950,38150,38150,City: Small,Mid East
C1136,9600,95,12730,13102,13356,13470,Town: Fringe,Mid East
C0239,27945,100,17130,13790,12670,13560,Rural: Distant,Southeast
C0020,4290,82,5426,6084,6528,7078,City: Small,Southeast
C0841,22045,95,36729,38198,39368,40426,City: Large,Mid East
C0264,8711,99,17070,17870,18770,19670,City: Small,Southeast
C0016,97,95,6524,6918,7320,7660,Rural: Remote,Southeast
C0890,2048,76,6157,6457,6782,7109,City: Large,Mid East
C0189,63277,68,42905,44148,45780,47343,City: Large,Mid East
C0170,19519,98,29852,30754,32172,33358,City: Midsize,New England
C1081,23977,94,33000,34505,36090,37505,City: Large,Mid East
C1483,1670,88,13080,13590,14370,14940,City: Small,Mid East
C0490,15340,72,10525,11305,11525,11950,Rural: Distant,New England
C0955,,95,5937,6084,6193,6353,Rural: Remote,Plains
C0904,5529,100,23002,26182,27622,18500,Suburb: Midsize,Southeast
C0660,1444,99,4644,4876,5316,5640,Town: Remote,Southeast
C0398,24937,100,22980,24050,25000,25990,City: Small,Plains
C0506,523,77,6000,6168,6384,6552,Suburb: Large,Mid East
C0743,17682,100,24895,25885,26905,28055,City: Small,New England
C1272,4460,,,,,,Suburb: Large,Southwest
C0554,14432,96,31380,32865,33920,35085,Suburb: Large,New England
C0430,17845,89,5890,6155,6442,6926,City: Large,Plains
C0552,980404,87,39212,40732,42050,43498,City: Midsize,New England
C1046,40655,99,30604,32416,34328,36310,Town: Distant,Far West
C0428,10922,100,20630,21740,21740,22730,Town: Remote,Plains
C0586,8524,96,7380,7560,7740,8100,Town: Distant,Great Lakes
C0349,5365,100,21700,22546,23290,23970,Town: Distant,Great Lakes
C0199,20145,97,33228,34546,35926,37362,City: Midsize,Southeast
C0504,138661,61,40680,42280,43390,45470,City: Large,Mid East
C0027,33,78,5860,6412,6844,7276,Rural: Fringe,Southeast
C0754,25173,99,26176,27984,28040,29606,City: Small,Mid East
C0238,13894,97,20130,21124,22168,23350,City: Small,Southeast
C0637,11757,83,11808,12486,12785,12815,City: Small,Plains
C1243,12196,97,6780,7390,7904,8312,City: Large,Southeast
C0878,2738,87,6053,6353,6694,7022,City: Large,Mid East
C0603,9934,92,13840,14700,15300,16340,City: Small,Great Lakes
C0079,989,82,4848,6095,6101,6344,City: Large,Far West
C0671,7758,84,7016,6034,6739,7115,City: Midsize,Plains
C1481,40346,100,5364,6060,6783,6866,City: Small,Southeast
C1510,6442,,4464,5706,5706,5706,Suburb: Midsize,Far West
C0183,4470,97,20580,21565,22392,23590,City: Small,Mid East
C1214,2898,92,6951,7424,7320,7617,Town: Distant,Plains
C0525,33993,99,31305,32545,33805,34975,City: Midsize,New England
C0573,18536,99,23845,25025,27108,29200,City: Large,New England
C0833,9214,92,23536,24708,25648,26640,City: Large,Mid East
C0499,6403,98,20180,20180,20180,21020,Suburb: Large,Mid East
C0873,19863,75,7136,7482,7989,8211,Suburb: Large,Mid East
C1151,14432,98,26534,27808,28878,29992,Town: Fringe,Mid East
C0501,3542,83,6904,7128,7436,7728,Suburb: Small,Mid East
C0396,48610,100,33480,34885,36100,37530,Town: Remote,Plains
C0925,43193,100,26200,27770,29186,30562,City: Large,Southeast
C1048,17349,100,22900,23600,24780,24930,City: Midsize,Far West
C1133,9377,94,12678,13048,13300,13550,Suburb: Small,Mid East
C0379,382150,95,31050,32450,33950,35650,Town: Distant,Great Lakes
C0790,26373,100,25482,26736,28022,29410,Town: Fringe,Mid East
C0446,41605,97,8424,8930,9662,9946,City: Large,Southeast
C1156,4440,87,8056,8856,9154,9448,Town: Fringe,Mid East
C1427,2883,35,2076,2268,2496,2712,Suburb: Small,Southeast
C0329,5868,100,24742,25932,26924,27970,Suburb: Large,Great Lakes
C1029,2929,92,4894,5704,6390,6739,Rural: Distant,Southwest
C0317,7292,86,18355,18895,18930,15915,City: Large,Great Lakes
C1092,8400,100,25610,27120,28190,29450,Suburb: Large,Mid East
C0812,657,99,21990,22940,23970,24790,Suburb: Large,Mid East
C1498,9056,97,7380,7560,7740,8100,Suburb: Small,Great Lakes
C0817,417158,58,41280,42640,44350,46080,Rural: Fringe,Mid East
C0599,46375,94,26510,27020,27710,28720,City: Small,Great Lakes
C0772,793,,4883,5322,5508,5700,City: Small,Mid East
C0778,15249,98,5506,5809,6050,6846,City: Large,Southwest
C0524,2744,100,28204,29860,30676,32134,Rural: Fringe,New England
C1180,14636,91,29718,30908,31618,31668,Suburb: Large,New England
C0310,8364,99,23780,24770,25770,26780,Suburb: Large,Great Lakes
C0608,13615,97,12017,12853,13353,13728,Town: Remote,Great Lakes
C1097,60069,100,32820,34090,35780,37170,Town: Distant,Mid East
C0105,3087,,,,,,Suburb: Large,Far West
C0366,7844,80,21214,21956,23164,23628,Town: Distant,Great Lakes
C0646,120923,93,36800,38150,39560,40700,Town: Distant,Plains
C0688,5875,95,8631,9038,9314,9474,Suburb: Large,Plains
C1008,543,90,11132,11472,11664,11904,City: Large,Great Lakes
C0472,1610,95,4461,5049,5557,6207,Town: Remote,Southeast
C0237,409661,100,24620,26090,27650,29090,Suburb: Small,Southeast
C0211,28599,96,5044,5657,6143,6263,City: Midsize,Southeast
C0970,1149,61,15750,16750,17350,17720,Town: Distant,Great Lakes
C0623,3542,90,7497,7858,8107,8124,Town: Remote,Plains
C1091,3868,,,,,,Suburb: Large,Mid East
C1532,20863,,,,,,Town: Distant,Plains
C0191,55408,93,18120,20171,22683,22683,City: Large,Mid East
C0453,539,99,15890,17080,18106,18106,Rural: Distant,Southeast
C0335,7214,96,21733,22572,23513,24435,Suburb: Large,Great Lakes
C0865,1175,94,6218,6542,6874,7294,Town: Remote,Mid East
C0796,704474,100,36650,39150,40250,41400,City: Large,Mid East
C0451,6511,95,7128,7584,8064,8376,Suburb: Large,Southeast
C0107,6673,97,29800,31300,33350,35000,Suburb: Large,Far West
C1037,10978,95,3744,3744,4320,4866,Town: Distant,Southwest
C0052,4174,98,6740,7010,7280,7580,Town: Distant,Southeast
C0307,11061,100,24780,26110,27000,27530,City: Midsize,Great Lakes
C1005,17992,97,20320,21220,22180,23160,City: Small,Great Lakes
C0292,4808,100,24396,25456,26476,27598,Suburb: Large,Great Lakes
C0950,3898,96,4088,4584,4941,5468,City: Midsize,Southeast
C0761,2320421,60,36640,37000,38650,40170,Suburb: Large,Mid East
C0121,44622,91,34100,36290,38320,39810,City: Large,Far West
C0920,,89,16542,17368,18236,18236,City: Large,Southeast
C0866,2677,96,6297,6539,6859,7181,Town: Remote,Mid East
C0086,5387,86,11029,12924,12960,12960,City: Large,Far West
C0518,1150,,,,,,Suburb: Large,Mid East
C1434,12760,100,24980,25640,26390,27830,City: Small,Southeast
C0171,8945,100,26907,27714,28494,29458,City: Small,New England
C0172,4809,95,30750,31750,32750,33740,Suburb: Large,New England
C1078,3974,91,7723,8340,9090,9404,Town: Remote,Mid East
C0799,5346,70,5051,5584,5884,6184,City: Large,Mid East
C0745,1215,70,6435,6810,7065,7065,Town: Fringe,New England
C0513,5455,88,6908,7332,7700,8128,Suburb: Small,Mid East
C0036,11293,91,29428,29552,30420,31034,Rural: Fringe,Southwest
C0502,103891,91,35142,36554,37640,39084,City: Small,Mid East
C0032,192792,100,26360,27110,29810,29810,City: Large,Far West
C0146,,59,8511,9152,9482,10347,City: Small,Rocky Mountains
C1071,2302,89,8312,8912,9379,9239,Suburb: Small,Mid East
C1177,44556,81,39435,40975,42206,43245,City: Midsize,New England
C0657,2037,93,5050,5050,5888,6348,City: Midsize,Southeast
C0200,1851,97,10470,10994,11358,11525,City: Large,Southeast
C1246,149425,95,34580,36464,38092,39794,City: Large,Southeast
C1353,23206,96,18300,19465,20600,21100,Town: Remote,New England
C0075,7161,80,4879,6263,6228,6287,City: Large,Far West
C1096,2713,88,7571,8362,8672,9080,Town: Distant,Mid East
C1150,16442,100,27730,29050,30450,30950,Suburb: Large,Mid East
C0744,51629,98,31575,32540,33775,35204,Suburb: Midsize,New England
C1451,72755,100,27081,28689,30110,31604,Town: Distant,Great Lakes
C1143,9227,100,20197,20888,21705,22455,Suburb: Large,Mid East
C0115,42905,100,30132,31339,32894,33852,City: Large,Far West
C1346,,92,8989,9468,9864,10286,Rural: Distant,New England
C1381,101394,100,30608,32265,33525,34850,Suburb: Large,Southeast
C0662,14482,99,13550,14038,14430,14868,Suburb: Large,Southeast
C0355,16089,98,22220,23010,23830,24660,City: Large,Great Lakes
C0867,1295,91,6405,6780,7090,7200,Town: Remote,Mid East
C0352,19571,99,22330,23210,23780,24040,Town: Distant,Great Lakes
C1298,52574,98,22576,23426,24226,25126,City: Large,Southwest
C0412,22002,92,5528,6032,6579,6579,City: Midsize,Plains
C0526,16957,100,25515,27045,28532,29959,Suburb: Large,New England
C0094,144214,,,,,,Suburb: Large,Far West
C0630,48686,99,33500,35520,37660,39120,Town: Fringe,Plains
C0059,1061,97,6426,6786,7146,7466,Town: Remote,Southeast
C0473,31309,81,14108,14699,9710,9950,City: Large,Southeast
C0257,52890,94,22444,23792,24744,25468,City: Large,Southeast
C0868,1523,90,7672,7768,8262,7149,Town: Distant,Mid East
C0697,6578,93,6255,6555,6750,6863,City: Small,Plains
C0417,10298,99,20712,21716,22238,23650,City: Large,Plains
C0978,51044,100,30250,31710,33180,34480,Suburb: Large,Great Lakes
C0246,1782,97,5562,6030,6180,6438,Town: Fringe,Southeast
C0899,36002,99,34100,35820,37540,39220,City: Large,Mid East
C0382,47002,100,26242,27844,29540,30700,Town: Distant,Plains
C0764,12564,85,12364,12615,12923,13348,City: Small,Mid East
C0438,19906,100,17000,18000,19000,20000,Town: Remote,Southeast
C0391,950232,90,37482,39810,41004,43656,Town: Remote,Plains
C0363,1832,91,6069,6280,6496,6639,Rural: Fringe,Great Lakes
C1449,299,100,12080,12880,13080,13380,Rural: Remote,Great Lakes
C1013,25792,100,25714,26840,27720,28190,Rural: Fringe,Great Lakes
C0122,96659,72,39080,40752,42772,44902,Suburb: Large,Far West
C0686,16139,92,8602,9029,9299,9456,City: Large,Plains
C0123,114135,41,41130,42550,43402,45018,Suburb: Large,Far West
C1168,64784,100,29320,30510,31510,32445,Town: Fringe,Mid East
C0370,1898,66,6181,6336,6494,6624,Suburb: Large,Great Lakes
C0932,6424,75,5138,5440,5873,6107,City: Large,Southeast
C0587,9151,96,7380,7560,7740,8100,Suburb: Large,Great Lakes
C0775,4320,99,3900,4147,4350,4558,Town: Remote,Southwest
C0594,3364,96,9930,9934,10354,10466,Town: Remote,Great Lakes
C0253,1180,90,5042,5340,5522,5818,Suburb: Large,Southeast
C0835,11882,95,17010,17360,17556,17576,Suburb: Large,Mid East
C1310,171461,79,8387,8421,8506,8506,City: Small,Southwest
C0060,11489,96,4918,4250,4462,4528,City: Small,Southeast
C1348,126979,98,35120,36560,37640,38110,Rural: Distant,New England
C0937,5626,69,5322,5672,6199,6343,City: Midsize,Southeast
C0461,2220,96,4428,4886,5273,5950,Town: Distant,Southeast
C0851,47198,95,30717,32037,33258,34424,Suburb: Large,Mid East
C1378,1401,97,6327,6700,6860,7126,City: Midsize,Southeast
C0545,1392761,75,38415,39851,39966,42292,City: Midsize,New England
C0952,7753,82,5393,5608,5718,5846,Town: Remote,Plains
C0797,193396,64,39666,41541,43413,45358,City: Small,Mid East
C0808,2768,61,5077,5607,5907,6207,City: Large,Mid East
C0997,4479,92,6102,6327,7140,7140,Town: Distant,Great Lakes
C0945,4647,98,12580,13226,14414,16480,City: Large,Southeast
C1394,6090,92,6570,7090,7420,7784,Suburb: Large,Southeast
C0593,3155,97,8378,8684,9026,9364,Suburb: Large,Great Lakes
C0894,42,,,,,,City: Small,Mid East
C0511,19251,100,30350,31536,32954,34644,Town: Fringe,Mid East
C1106,14250,99,8472,9062,9590,9804,Suburb: Large,Mid East
C0672,28545,100,22550,22550,22550,23300,Rural: Remote,Plains
C0572,593054,68,39666,40660,42082,43554,Suburb: Large,New England
C0821,34752,96,31800,34150,35950,37400,Suburb: Large,Mid East
C1326,12944,96,10796,11320,11900,12550,Town: Remote,Southwest
C1418,60234,100,22596,23854,24780,25736,Rural: Fringe,Southeast
C0427,26174,100,19000,20150,21200,21200,Rural: Distant,Plains
C0364,33329,100,24920,25950,26746,27920,Town: Distant,Great Lakes
C1327,3232,90,5834,6008,6308,6500,Town: Fringe,Southwest
C1304,10207,100,16456,17080,17800,18640,Town: Fringe,Southwest
C0039,1166,94,26235,27829,28820,29732,City: Small,Southwest
C1087,118460,61,41140,42610,44360,46285,City: Small,Mid East
C1493,8737,96,7380,7560,7740,8100,Suburb: Large,Great Lakes
C0160,,91,4775,5473,6449,7343,Town: Remote,Rocky Mountains
C0061,6604,92,28800,29940,31076,32256,Suburb: Large,Far West
C0098,4399,,,,,,City: Small,Far West
C0676,5977,93,15996,16902,17920,18770,Town: Remote,Plains
C0494,4567,93,8538,8900,7776,8920,City: Small,New England
C0138,107715,67,41022,42818,44463,46298,City: Large,Far West
C0298,367,,,,,,Rural: Fringe,Great Lakes
C0028,37366,96,16750,17870,18900,18900,Town: Distant,Southeast
C0150,10399,73,6895,7952,8649,9313,City: Midsize,Rocky Mountains
C1227,4180,91,18620,19550,20150,21150,Town: Distant,Southeast
C1043,2927,94,6639,7046,7238,7530,Town: Remote,Far West
C0884,2181,91,6186,6510,6841,7181,Town: Distant,Mid East
C0069,2668,81,5314,6682,6709,6775,City: Large,Far West
C0875,10676,90,5941,6269,6593,7033,City: Midsize,Mid East
C0101,306579,75,40390,42410,44442,46509,Suburb: Large,Far West
C1457,5300,89,6973,7282,7648,7676,City: Midsize,Great Lakes
C0996,1846,87,6102,6327,7140,7140,Rural: Fringe,Great Lakes
C1219,17512,99,15135,15435,16205,17014,Town: Remote,Plains
C0408,8865,100,20475,21475,22800,23900,Town: Distant,Plains
C1024,966,85,4482,4703,4957,5241,Town: Remote,Southwest
C1270,66871,98,20990,22460,22560,23460,City: Midsize,Southwest
C1319,12071,92,4900,5124,5250,5250,City: Midsize,Southwest
C1477,2597,69,18405,19305,20055,20595,City: Large,Far West
C1429,1942,87,4544,4918,5442,5932,Suburb: Midsize,Southeast
C0650,16608,100,30168,31640,33176,34744,City: Large,Plains
C0204,21644,85,13860,14510,15340,16180,Suburb: Small,Southeast
C0860,42117,98,26510,29295,30200,31368,Suburb: Large,Mid East
C1517,1670,100,18625,20090,21496,23000,Rural: Distant,Southeast
C1302,5137,86,6998,7344,7928,8412,Rural: Fringe,Southwest
C0740,4033,96,10140,11800,12776,12776,Town: Distant,New England
C1534,,100,10920,10920,10920,10920,Suburb: Large,Southeast
C0903,24393,100,21784,22982,24180,25396,Town: Fringe,Southeast
C0410,34551,100,20700,21700,22600,23500,Town: Distant,Plains
C1294,19187,90,26484,28700,31110,33720,City: Large,Southwest
C1115,55153,99,32177,33446,34484,35518,City: Small,Mid East
C0936,8775,84,23050,24890,25760,26632,City: Small,Southeast
C0186,45507,95,33780,35460,36820,38526,City: Large,Mid East
C1075,29301,100,29188,30312,31532,32454,City: Large,Mid East
C1282,5901,99,21980,23590,24540,25740,City: Small,Southwest
C0108,,22,9210,9220,10105,10105,City: Large,Far West
C0969,34212,83,10065,10419,10784,10784,City: Large,Great Lakes
C0141,38487,94,35582,36992,38640,40296,Suburb: Large,Far West
C0624,64663,100,21080,22410,23270,24080,City: Small,Plains
C0131,4276,60,5370,6828,6852,7343,City: Large,Far West
C1266,22938,100,29530,31150,31070,33110,City: Midsize,Southwest
C0384,61730,100,30860,32380,34220,35730,City: Midsize,Plains
C0811,3367,100,21460,22310,23130,24090,Suburb: Large,Mid East
C0705,4257,90,5242,5470,5711,5745,City: Midsize,Rocky Mountains
C1311,3706,79,8500,8878,8878,8878,City: Large,Southwest
