ID,Control,Highest degree offered
C0767,Private,Doctoral degree
C0768,Private,Doctoral degree
C0769,Private,Doctoral degree
C0770,Private,Doctoral degree
C0771,Public,Doctoral degree
C0772,Public,Master's degree
C0773,Public,Master's degree
C0774,Public,Doctoral degree
C0775,Public,Master's degree
C0776,Public,Master's degree
C0777,Public,Doctoral degree
C0778,Public,Doctoral degree
C0779,Public,Doctoral degree
C0780,Public,Bachelor's degree
C0781,Private,Master's degree
C0782,Public,Master's degree
C0783,Private,Master's degree
C0784,Private,Doctoral degree
C0785,Private,Doctoral degree
C0786,Private,Doctoral degree
C0787,Private,Bachelor's degree
C0788,Private,Master's degree
C0789,Private,Master's degree
C0790,Private,Bachelor's degree
C0791,Private,Doctoral degree
C0792,Private,Master's degree
C0793,Private,Master's degree
C0794,Private,Doctoral degree
C0795,Private,Master's degree
C0796,Private,Master's degree
C0797,Private,Doctoral degree
C0798,Public,Master's degree
C0799,Public,Master's degree
C0800,Public,Master's degree
C0801,Public,Doctoral degree
C0802,Public,Doctoral degree
C0803,Public,Doctoral degree
C0804,Public,Master's degree
C0805,Public,Master's degree
C0806,Public,Bachelor's degree
C0807,Public,Bachelor's degree
C0808,Public,Master's degree
C0809,Public,Master's degree
C0810,Private,Doctoral degree
C0811,Private,Doctoral degree
C0812,Private,Doctoral degree
C0813,Private,Doctoral degree
C0814,Private,Master's degree
C0815,Public,Master's degree
C0816,Private,Doctoral degree
C0817,Private,Bachelor's degree
C0818,Private,Bachelor's degree
C0819,Private,Master's degree
C0820,Private,Master's degree
C0821,Private,Doctoral degree
C0822,Private,Master's degree
C0823,Private,Master's degree
C0824,Private,Doctoral degree
C0825,Private,Master's degree
C0826,Private,Master's degree
C0827,Private,Doctoral degree
C0828,Private,Doctoral degree
C0829,Private,Master's degree
C0830,Private,Master's degree
C0831,Private,Doctoral degree
C0832,Private,Master's degree
C0833,Private,Bachelor's degree
C0834,Private,Doctoral degree
C0835,Private,Doctoral degree
C0836,Private,Doctoral degree
C0837,Private,Master's degree
C0838,Private,Master's degree
C0839,Private,Doctoral degree
C0840,Private,Master's degree
C0841,Private,Doctoral degree
C0842,Private,Doctoral degree
C0843,Private,Doctoral degree
C0844,Private,Doctoral degree
C0845,Private,Doctoral degree
C0846,Private,Doctoral degree
C0847,Private,Bachelor's degree
C0848,Private,Doctoral degree
C0849,Private,Doctoral degree
C0850,Private,Master's degree
C0851,Private,Doctoral degree
C0852,Private,Doctoral degree
C0853,Private,Doctoral degree
C0854,Private,Master's degree
C0855,Private,Master's degree
C0856,Private,Master's degree
C0857,Private,Master's degree
C0858,Private,Master's degree
C0859,Private,Master's degree
C0860,Private,Master's degree
C0861,Private,Master's degree
C0862,Private,Master's degree
C0863,Private,Doctoral degree
C0864,Private,Doctoral degree
C0865,Public,Bachelor's degree
C0866,Public,Bachelor's degree
C0867,Public,Bachelor's degree
C0868,Public,Bachelor's degree
C0869,Public,Bachelor's degree
C0870,Public,Bachelor's degree
C0871,Public,Doctoral degree
C0872,Public,Doctoral degree
C0873,Public,Doctoral degree
C0874,Public,Doctoral degree
C0875,Public,Doctoral degree
C0876,Public,Master's degree
C0877,Public,Master's degree
C0878,Public,Master's degree
C0879,Public,Master's degree
C0880,Public,Master's degree
C0881,Public,Master's degree
C0882,Public,Master's degree
C0883,Public,Master's degree
C0884,Public,Master's degree
C0885,Public,Master's degree
C0886,Public,Master's degree
C0887,Public,Master's degree
C0888,Public,Master's degree
C0889,Public,Master's degree
C0890,Public,Master's degree
C0891,Private,Doctoral degree
C0892,Private,Doctoral degree
C0893,Private,Doctoral degree
C0894,Private,Master's degree
C0895,Private,Bachelor's degree
C0896,Public,Master's degree
C0897,Private,Doctoral degree
C0898,Private,Master's degree
C0899,Private,Master's degree
C0900,Private,Bachelor's degree
C0901,Private,Doctoral degree
C0902,Public,Doctoral degree
C0903,Private,Master's degree
C0904,Private,Bachelor's degree
C0905,Private,Bachelor's degree
C0906,Private,Bachelor's degree
C0907,Private,Doctoral degree
C0908,Private,Master's degree
C0909,Private,Master's degree
C0910,Private,Bachelor's degree
C0911,Private,Doctoral degree
C0912,Public,Doctoral degree
C0913,Public,Master's degree
C0914,Private,Doctoral degree
C0915,Public,Doctoral degree
C0916,Private,Doctoral degree
C0917,Private,Master's degree
C0918,Private,Bachelor's degree
C0919,Private,Doctoral degree
C0920,Private,Bachelor's degree
C0921,Private,Bachelor's degree
C0922,Private,Master's degree
C0923,Private,Bachelor's degree
C0924,Private,Master's degree
C0925,Private,Master's degree
C0926,Private,Master's degree
C0927,Private,Master's degree
C0928,Private,Bachelor's degree
C0929,Public,Doctoral degree
C0930,Public,Master's degree
C0931,Public,Doctoral degree
C0932,Public,Doctoral degree
C0933,Public,Doctoral degree
C0934,Public,Doctoral degree
C0935,Public,Doctoral degree
C0936,Private,Bachelor's degree
C0937,Public,Doctoral degree
C0938,Private,Bachelor's degree
C0939,Public,Master's degree
C0940,Private,Master's degree
C0941,Private,Master's degree
C0942,Private,Bachelor's degree
C0943,Private,Bachelor's degree
C0944,Private,Master's degree
C0945,Private,Master's degree
C0946,Private,Master's degree
C0947,Private,Doctoral degree
C0948,Private,Master's degree
C0949,Private,Doctoral degree
C0950,Public,Doctoral degree
C0951,Public,Doctoral degree
C0952,Public,Bachelor's degree
C0953,Private,Doctoral degree
C0954,Private,Doctoral degree
C0955,Public,Bachelor's degree
C0956,Public,Master's degree
C0957,Public,Doctoral degree
C0958,Public,Doctoral degree
C0959,Public,Master's degree
C0960,Public,Doctoral degree
C0961,Private,Doctoral degree
C0962,Private,Master's degree
C0963,Private,Master's degree
C0964,Public,Doctoral degree
C0965,Private,Doctoral degree
C0966,Private,Doctoral degree
C0967,Private,Doctoral degree
C0968,Public,Master's degree
C0969,Public,Doctoral degree
C0970,Private,Master's degree
C0971,Public,Doctoral degree
C0972,Private,Doctoral degree
C0973,Private,Master's degree
C0974,Private,Bachelor's degree
C0975,Private,Doctoral degree
C0976,Private,Master's degree
C0977,Private,Master's degree
C0978,Private,Master's degree
C0979,Public,Bachelor's degree
C0980,Public,Doctoral degree
C0981,Private,Bachelor's degree
C0982,Private,Master's degree
C0983,Private,Master's degree
C0984,Private,Master's degree
C0985,Private,Master's degree
C0986,Public,Doctoral degree
C0987,Private,Master's degree
C0988,Private,Master's degree
C0989,Private,Doctoral degree
C0990,Private,Master's degree
C0991,Private,Master's degree
C0992,Private,Master's degree
C0993,Private,Master's degree
C0994,Private,Doctoral degree
C0995,Public,Master's degree
C0996,Public,Master's degree
C0997,Public,Master's degree
C0998,Public,Master's degree
C0999,Public,Doctoral degree
C1000,Public,Doctoral degree
C1001,Private,Bachelor's degree
C1002,Private,Doctoral degree
C1003,Private,Master's degree
C1004,Public,Master's degree
C1005,Private,Master's degree
C1006,Private,Master's degree
C1007,Public,Doctoral degree
C1008,Private,Doctoral degree
C1009,Private,Master's degree
C1010,Private,Doctoral degree
C1011,Private,Doctoral degree
C1012,Private,Master's degree
C1013,Private,Master's degree
C1014,Private,Master's degree
C1015,Private,Bachelor's degree
C1016,Public,Doctoral degree
C1017,Private,Doctoral degree
C1018,Public,Doctoral degree
C1019,Private,Bachelor's degree
C1020,Private,Master's degree
C1021,Private,Master's degree
C1022,Public,Master's degree
C1023,Public,Master's degree
C1024,Public,Master's degree
C1025,Public,Doctoral degree
C1026,Public,Doctoral degree
C1027,Public,Master's degree
C1028,Private,Master's degree
C1029,Public,Bachelor's degree
C1030,Public,Doctoral degree
C1031,Private,Master's degree
C1032,Private,Doctoral degree
C1033,Public,Doctoral degree
C1034,Private,Doctoral degree
C1035,Public,Bachelor's degree
C1036,Private,Master's degree
C1037,Public,Bachelor's degree
C1038,Public,Master's degree
C1039,Private,Master's degree
C1040,Public,Doctoral degree
C1041,Private,Doctoral degree
C1042,Private,Doctoral degree
C1043,Public,Master's degree
C1044,Private,Doctoral degree
C1045,Private,Doctoral degree
C1046,Private,Bachelor's degree
C1047,Private,Master's degree
C1048,Private,Master's degree
C1049,Public,Master's degree
C1050,Public,Doctoral degree
C1051,Public,Doctoral degree
C1052,Private,Doctoral degree
C1053,Public,Doctoral degree
C1054,Private,Doctoral degree
C1055,Private,Master's degree
C1056,Public,Master's degree
C1057,Private,Master's degree
C1058,Private,Doctoral degree
C1059,Private,Doctoral degree
C1060,Public,Master's degree
C1061,Private,Master's degree
C1062,Private,Master's degree
C1063,Private,Bachelor's degree
C1064,Private,Doctoral degree
C1065,Private,Doctoral degree
C1066,Private,Doctoral degree
C1067,Public,Doctoral degree
C1068,Private,Doctoral degree
C1069,Private,Master's degree
C1070,Private,Master's degree
C1071,Public,Master's degree
C1072,Private,Doctoral degree
C1073,Private,Doctoral degree
C1074,Private,Master's degree
C1075,Private,Doctoral degree
C1076,Private,Doctoral degree
C1077,Public,Master's degree
C1078,Public,Master's degree
C1079,Private,Master's degree
C1080,Private,Bachelor's degree
C1081,Private,Doctoral degree
C1082,Private,Doctoral degree
C1083,Public,Master's degree
C1084,Private,Doctoral degree
C1085,Public,Master's degree
C1086,Private,Master's degree
C1087,Private,Bachelor's degree
C1088,Private,Doctoral degree
C1089,Private,Master's degree
C1090,Private,Bachelor's degree
C1091,Private,Doctoral degree
C1092,Private,Master's degree
C1093,Private,Bachelor's degree
C1094,Private,Doctoral degree
C1095,Private,Doctoral degree
C1096,Public,Doctoral degree
C1097,Private,Master's degree
C1098,Private,Bachelor's degree
C1099,Private,Master's degree
C1100,Public,Master's degree
C1101,Private,Master's degree
C1102,Private,Doctoral degree
C1103,Private,Bachelor's degree
C1104,Private,Doctoral degree
C1105,Private,Doctoral degree
C1106,Public,Master's degree
C1107,Public,Master's degree
C1108,Private,Bachelor's degree
C1109,Public,Master's degree
C1110,Private,Doctoral degree
C1111,Private,Doctoral degree
C1112,Private,Master's degree
C1113,Public,Master's degree
C1114,Private,Doctoral degree
C1115,Private,Master's degree
C1116,Private,Master's degree
C1117,Private,Bachelor's degree
C1118,Private,Doctoral degree
C1119,Public,Master's degree
C1120,Public,Master's degree
C1121,Public,Master's degree
C1122,Public,Bachelor's degree
C1123,Public,Bachelor's degree
C1124,Public,Bachelor's degree
C1125,Public,Bachelor's degree
C1126,Public,Bachelor's degree
C1127,Public,Bachelor's degree
C1128,Public,Bachelor's degree
C1129,Public,Doctoral degree
C1130,Public,Bachelor's degree
C1131,Public,Bachelor's degree
C1132,Public,Bachelor's degree
C1133,Public,Bachelor's degree
C1134,Public,Doctoral degree
C1135,Public,Master's degree
C1136,Public,Bachelor's degree
C1137,Public,Bachelor's degree
C1138,Public,Bachelor's degree
C1139,Public,Master's degree
C1140,Private,Master's degree
C1141,Private,Doctoral degree
C1142,Private,Doctoral degree
C1143,Private,Master's degree
C1144,Public,Bachelor's degree
C1145,Public,Bachelor's degree
C1146,Public,Bachelor's degree
C1147,Public,Doctoral degree
C1148,Private,Master's degree
C1149,Private,Doctoral degree
C1150,Private,Master's degree
C1151,Private,Doctoral degree
C1152,Private,Doctoral degree
C1153,Private,Doctoral degree
C1154,Private,Doctoral degree
C1155,Private,Master's degree
C1156,Public,Master's degree
C1157,Public,Doctoral degree
C1158,Private,Bachelor's degree
C1159,Private,Bachelor's degree
C1160,Public,Doctoral degree
C1161,Private,Bachelor's degree
C1162,Private,Bachelor's degree
C1163,Private,Master's degree
C1164,Private,Doctoral degree
C1165,Private,Bachelor's degree
C1166,Private,Doctoral degree
C1167,Public,Master's degree
C1168,Private,Master's degree
C1169,Private,Doctoral degree
C1170,Private,Doctoral degree
C1171,Private,Master's degree
C1172,Private,Doctoral degree
C1173,Private,Doctoral degree
C1174,Private,Master's degree
C1175,Private,Doctoral degree
C1176,Private,Master's degree
C1177,Private,Master's degree
C1178,Public,Doctoral degree
C1179,Public,Doctoral degree
C1180,Private,Master's degree
C1181,Private,Doctoral degree
C1182,Private,Bachelor's degree
C1183,Private,Doctoral degree
C1184,Private,Master's degree
C1185,Private,Bachelor's degree
C1186,Private,Master's degree
C1187,Public,Master's degree
C1188,Public,Master's degree
C1189,Private,Master's degree
C1190,Public,Doctoral degree
C1191,Private,Master's degree
C1192,Private,Doctoral degree
C1193,Private,Master's degree
C1194,Private,Master's degree
C1195,Private,Doctoral degree
C1196,Public,Master's degree
C1197,Private,Master's degree
C1198,Public,Master's degree
C1199,Private,Master's degree
C1200,Private,Bachelor's degree
C1201,Private,Bachelor's degree
C1202,Private,Doctoral degree
C1203,Private,Doctoral degree
C1204,Public,Master's degree
C1205,Public,Bachelor's degree
C1206,Public,Doctoral degree
C1207,Public,Master's degree
C1208,Public,Doctoral degree
C1209,Public,Master's degree
C1210,Private,Bachelor's degree
C1211,Public,Master's degree
C1212,Private,Bachelor's degree
C1213,Private,Master's degree
C1214,Public,Master's degree
C1215,Public,Doctoral degree
C1216,Private,Master's degree
C1217,Private,Master's degree
C1218,Public,Master's degree
C1219,Private,Bachelor's degree
C1220,Public,Doctoral degree
C1221,Private,Master's degree
C1222,Public,Doctoral degree
C1223,Private,Master's degree
C1224,Public,Master's degree
C1225,Private,Doctoral degree
C1226,Private,Master's degree
C1227,Private,Master's degree
C1228,Private,Doctoral degree
C1229,Private,Master's degree
C1230,Private,Master's degree
C1231,Private,Doctoral degree
C1232,Public,Doctoral degree
C1233,Private,Master's degree
C1234,Private,Bachelor's degree
C1235,Private,Master's degree
C1236,Private,Master's degree
C1237,Private,Bachelor's degree
C1238,Private,Bachelor's degree
C1239,Private,Master's degree
C1240,Private,Doctoral degree
C1241,Private,Bachelor's degree
C1242,Private,Bachelor's degree
C1243,Public,Doctoral degree
C1244,Public,Doctoral degree
C1245,Private,Master's degree
C1246,Private,Master's degree
C1247,Private,Doctoral degree
C1248,Private,Doctoral degree
C1249,Private,Master's degree
C1250,Public,Doctoral degree
C1251,Public,Doctoral degree
C1252,Public,Master's degree
C1253,Public,Doctoral degree
C1254,Public,Doctoral degree
C1255,Private,Doctoral degree
C1256,Private,Master's degree
C1257,Private,Doctoral degree
C1258,Private,Doctoral degree
C1259,Private,Doctoral degree
C1260,Public,Doctoral degree
C1261,Private,Master's degree
C1262,Private,Doctoral degree
C1263,Private,Master's degree
C1264,Public,Doctoral degree
C1265,Private,Doctoral degree
C1266,Private,Doctoral degree
C1267,Private,Master's degree
C1268,Public,Master's degree
C1269,Public,Doctoral degree
C1270,Private,Doctoral degree
C1271,Private,Master's degree
C1272,Public,Doctoral degree
C1273,Public,Master's degree
C1274,Public,Master's degree
C1275,Public,Doctoral degree
C1276,Private,Master's degree
C1277,Private,Bachelor's degree
C1278,Private,Doctoral degree
C1279,Private,Bachelor's degree
C1280,Public,Doctoral degree
C1281,Public,Doctoral degree
C1282,Private,Master's degree
C1283,Private,Master's degree
C1284,Private,Doctoral degree
C1285,Private,Master's degree
C1286,Public,Master's degree
C1287,Public,Doctoral degree
C1288,Private,Doctoral degree
C1289,Public,Doctoral degree
C1290,Public,Doctoral degree
C1291,Private,Bachelor's degree
C1292,Public,Doctoral degree
C1293,Private,Doctoral degree
C1294,Private,Master's degree
C1295,Private,Doctoral degree
C1296,Public,Doctoral degree
C1297,Private,Master's degree
C1298,Private,Doctoral degree
C1299,Private,Doctoral degree
C1300,Private,Master's degree
C1301,Private,Bachelor's degree
C1302,Public,Doctoral degree
C1303,Public,Doctoral degree
C1304,Private,Master's degree
C1305,Private,Bachelor's degree
C1306,Public,Master's degree
C1307,Public,Doctoral degree
C1308,Public,Doctoral degree
C1309,Public,Doctoral degree
C1310,Public,Doctoral degree
C1311,Public,Doctoral degree
C1312,Public,Doctoral degree
C1313,Public,Doctoral degree
C1314,Public,Doctoral degree
C1315,Public,Doctoral degree
C1316,Private,Doctoral degree
C1317,Private,Bachelor's degree
C1318,Private,Master's degree
C1319,Public,Master's degree
C1320,Public,Doctoral degree
C1321,Public,Doctoral degree
C1322,Public,Doctoral degree
C1323,Private,Doctoral degree
C1324,Public,Doctoral degree
C1325,Private,Master's degree
C1326,Private,Master's degree
C1327,Public,Doctoral degree
C1328,Private,Bachelor's degree
C1329,Private,Doctoral degree
C1330,Private,Bachelor's degree
C1331,Public,Bachelor's degree
C1332,Public,Master's degree
C1333,Private,Bachelor's degree
C1334,Private,Bachelor's degree
C1335,Public,Doctoral degree
C1336,Public,Master's degree
C1337,Public,Doctoral degree
C1338,Public,Master's degree
C1339,Private,Master's degree
C1340,Private,Master's degree
C1341,Private,Master's degree
C1342,Public,Master's degree
C1343,Private,Master's degree
C1344,Private,Master's degree
C1345,Private,Master's degree
C1346,Public,Master's degree
C1347,Public,Master's degree
C1348,Private,Master's degree
C1349,Private,Doctoral degree
C1350,Private,Master's degree
C1351,Private,Master's degree
C1352,Private,Master's degree
C1353,Private,Master's degree
C1354,Private,Bachelor's degree
C1355,Private,Bachelor's degree
C1356,Public,Bachelor's degree
C1357,Public,Doctoral degree
C1358,Private,Master's degree
C1359,Private,Master's degree
C1360,Private,Bachelor's degree
C1361,Public,Doctoral degree
C1362,Private,Doctoral degree
C1363,Public,Master's degree
C1364,Private,Master's degree
C1365,Private,Master's degree
C1366,Private,Bachelor's degree
C1367,Public,Doctoral degree
C1368,Private,Bachelor's degree
C1369,Private,Doctoral degree
C1370,Private,Master's degree
C1371,Public,Doctoral degree
C1372,Private,Doctoral degree
C1373,Public,Master's degree
C1374,Private,Doctoral degree
C1375,Private,Master's degree
C1376,Public,Master's degree
C1377,Private,Doctoral degree
C1378,Public,Doctoral degree
C1379,Public,Doctoral degree
C1380,Public,Doctoral degree
C1381,Private,Bachelor's degree
C1382,Private,Master's degree
C1383,Private,Doctoral degree
C1384,Private,Bachelor's degree
C1385,Private,Doctoral degree
C1386,Private,Bachelor's degree
C1387,Private,Master's degree
C1388,Public,Bachelor's degree
C1389,Private,Bachelor's degree
C1390,Public,Doctoral degree
C1391,Public,Doctoral degree
C1392,Public,Doctoral degree
C1393,Public,Bachelor's degree
C1394,Public,Doctoral degree
C1395,Private,Doctoral degree
C1396,Private,Bachelor's degree
C1397,Private,Doctoral degree
C1398,Public,Master's degree
C1399,Private,Doctoral degree
C1400,Public,Doctoral degree
C1401,Public,Master's degree
C1402,Private,Doctoral degree
C1403,Private,Master's degree
C1404,Private,Bachelor's degree
C1405,Private,Doctoral degree
C1406,Private,Master's degree
C1407,Private,Doctoral degree
C1408,Private,Master's degree
C1409,Private,Doctoral degree
C1410,Private,Doctoral degree
C1411,Private,Master's degree
C1412,Public,Doctoral degree
C1413,Public,Doctoral degree
C1414,Public,Master's degree
C1415,Private,Bachelor's degree
C1416,Private,Master's degree
C1417,Private,Master's degree
C1418,Private,Master's degree
C1419,Public,Bachelor's degree
C1420,Private,Doctoral degree
C1421,Public,Master's degree
C1422,Private,Bachelor's degree
C1423,Public,Master's degree
C1424,Public,Bachelor's degree
C1425,Public,Doctoral degree
C1426,Private,Master's degree
C1427,Public,Bachelor's degree
C1428,Public,Master's degree
C1429,Public,Master's degree
C1430,Public,Master's degree
C1431,Public,Bachelor's degree
C1432,Private,Master's degree
C1433,Public,Doctoral degree
C1434,Private,Doctoral degree
C1435,Private,Master's degree
C1436,Private,Bachelor's degree
C1437,Private,Doctoral degree
C1438,Private,Doctoral degree
C1439,Private,Master's degree
C1440,Private,Doctoral degree
C1441,Private,Doctoral degree
C1442,Private,Master's degree
C1443,Private,Bachelor's degree
C1444,Private,Master's degree
C1445,Private,Doctoral degree
C1446,Private,Doctoral degree
C1447,Private,Master's degree
C1448,Private,Doctoral degree
C1449,Private,Doctoral degree
C1450,Private,Bachelor's degree
C1451,Private,Bachelor's degree
C1452,Private,Master's degree
C1453,Private,Master's degree
C1454,Private,Doctoral degree
C1455,Public,Master's degree
C1456,Public,Doctoral degree
C1457,Public,Master's degree
C1458,Public,Doctoral degree
C1459,Private,Master's degree
C1460,Public,Doctoral degree
C1461,Public,Master's degree
C1462,Public,Master's degree
C1463,Public,Master's degree
C1464,Public,Doctoral degree
C1465,Public,Doctoral degree
C1466,Public,Master's degree
C1467,Public,Master's degree
C1468,Public,Doctoral degree
C1469,Public,Doctoral degree
C1470,Private,Doctoral degree
C1471,Public,Doctoral degree
C1472,Private,Bachelor's degree
C1473,Private,Master's degree
C1474,Private,Master's degree
C1475,Private,Doctoral degree
C1476,Private,Doctoral degree
C1477,Private,Doctoral degree
C1478,Private,Master's degree
C1479,Private,Master's degree
C1480,Private,Doctoral degree
C1481,Public,Bachelor's degree
C1482,Private,Doctoral degree
C1483,Public,Bachelor's degree
C1484,Public,Master's degree
C1485,Private,Master's degree
C1486,Private,Bachelor's degree
C1487,Public,Master's degree
C1488,Public,Doctoral degree
C1489,Private,Bachelor's degree
C1490,Private,Bachelor's degree
C1491,Private,Master's degree
C1492,Private,Master's degree
C1493,Private,Bachelor's degree
C1494,Private,Bachelor's degree
C1495,Private,Bachelor's degree
C1496,Private,Bachelor's degree
C1497,Public,Master's degree
C1498,Private,Bachelor's degree
C1499,Private,Doctoral degree
C1500,Private,Bachelor's degree
C1501,Private,Master's degree
C1502,Private,Master's degree
C1503,Private,Master's degree
C1504,Public,Doctoral degree
C1505,Private,Bachelor's degree
C1506,Private,Bachelor's degree
C1507,Private,Master's degree
C1508,Private,Master's degree
C1509,Private,Master's degree
C1510,Public,Master's degree
C1511,Public,Bachelor's degree
C1512,Public,Master's degree
C1513,Private,Bachelor's degree
C1514,Private,Bachelor's degree
C1515,Private,Master's degree
C1516,Private,Bachelor's degree
C1517,Private,Doctoral degree
C1518,Private,Master's degree
C1519,Private,Bachelor's degree
C1520,Private,Master's degree
C1521,Public,Bachelor's degree
C1522,Private,Master's degree
C1523,Private,Master's degree
C1524,Private,Bachelor's degree
C1525,Private,Bachelor's degree
C1526,Public,Master's degree
C1527,Private,Doctoral degree
C1528,Private,Master's degree
C1529,Private,Master's degree
C1530,Public,Master's degree
C1531,Private,Bachelor's degree
C1532,Private,Master's degree
C1533,Private,Bachelor's degree
C1534,Private,Master's degree
